SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
33,Chilliwack,3325097,Early Learning Program,Rosedale StrongStart Centre,50850 Yale Road,Rosedale,,604 794-7124,,49.17397911,-121.8180265
34,Abbotsford,3425455,Early Learning Program,Blue Jay Elementary StrongStart,30995 Southern Dr,Abbotsford,,604 854-4316,,49.05834581,-122.3662141
37,Delta,3725242,Early Learning Program,McCloskey Elementary PM StrongStart Centre,11531 80 Ave,Delta,,604 596-9554,,49.14950431,-122.9039653
38,Richmond,3825021,Early Learning Program,McNeely StrongStart Centre,12440 Woodhead Rd,Richmond,,604 295-6431,,49.1824211,-123.0850197
39,Vancouver,3925436,Early Learning Program,John Henderson StrongStart Centre,451 53rd Ave E,Vancouver,,604 713-4837,,49.2227349,-123.0950757
40,New Westminster,4025044,Early Learning Program,Queen Elizabeth StrongStart Centre,833 Salter St,New Westminster,,604 517-6040,604 517-6041,49.18633078,-122.9409197
42,Maple Ridge,4225135,Early Learning Program,Blue Mountain StrongStart Centre,24789 Dewdney Trunk Rd,Maple Ridge,,604 463-6287,604 463-0896,49.22149454,-122.5364037
42,Maple Ridge,4225136,Early Learning Program,c`usqunela StrongStart Centre,24093 104 Ave,Maple Ridge,,,,49.191652,-122.554492
43,Coquitlam,4325140,Early Learning Program,Bramblewood StrongStart Centre,2960 Walton Ave,Coquitlam,,604 941-1962,,49.28932037,-122.797489
43,Coquitlam,4325266,Early Learning Program,Moody StrongStart Centre,3115 St Johns St,Port Moody,,604 461-7384,604 937-8047,49.2749656,-122.8387789
43,Coquitlam,4325138,Early Learning Program,Rochester StrongStart Centre,1300 Rochester Ave,Coquitlam,,604 931-3574,,49.24445877,-122.8557679
44,North Vancouver,4425046,Early Learning Program,Westview StrongStart Centre,1660 Bewicke Ave,North Vancouver,,604 903-3840,604 903-3841,49.3237923,-123.0895232
45,West Vancouver,4525272,Early Learning Program,Bowen Island StrongStart Centre,1041 Mount Gardner Rd,Bowen Island,,604 947-9337,,49.38136207,-123.3420533
51,Boundary,5125150,Early Learning Program,Greenwood StrongStart Centre,785 Copper Road,Greenwood,,250 445-6616,,49.10593682,-118.6777997
53,Southern Okanagan,5325056,Early Learning Program,Oliver StrongStart Centre,809 School Avenue,Oliver,,250 498-3468,250 498-0339,49.18279269,-119.5571801
57,Prince George,5725012,Early Learning Program,SD57 StrongStart Centre 01,3455 13th Avenue,Prince George,,250 563-4208,,53.91543335,-122.7930928
59,Peace River South,5925059,Early Learning Program,Dawson Creek StrongStart Centre,10701 10th St,Dawson Creek,,250 782-5585,,55.75434797,-120.2342533
59,Peace River South,5925439,Early Learning Program,Tumbler Ridge StrongStart Centre,180 Southgate St,Tumbler Ridge,,250 242-4227,250 242-3600,55.1238717,-121.0015171
61,Greater Victoria,6125063,Early Learning Program,George Jay Community StrongStart Centre,2260 Victor St,Victoria,,250 385-3381,250 360-0952,48.43214366,-123.3375227
70,Alberni,7025172,Early Learning Program,A W Neill StrongStart Centre,5055 Compton Rd,Port Alberni,,250 723-8151,,49.26975848,-124.8160681
71,Comox Valley,7125299,Early Learning Program,Cumberland StrongStart Centre,2674 Windermere Ave,Cumberland,,250 336-8521,,49.62154095,-125.0333844
72,Campbell River,7225174,Early Learning Program,Sayward StrongStart Centre,690 Kelsey Way,Sayward,,250 282-3314,,50.37726071,-125.9578524
74,Gold Trail,7425444,Early Learning Program,Desert Sands StrongStart Centre,435 Ranch Road,Ashcroft,,250 453-9144,250 453-2368,50.73415592,-121.2677641
81,Fort Nelson,8125075,Early Learning Program,G W Carlson StrongStart Centre,5617 51 St,Fort Nelson,,250 774-6941,250 774-6988,58.81331643,-122.6977011
81,Fort Nelson,8125183,Early Learning Program,J S Clark StrongStart Centre,5209 45 St,Fort Nelson,,250 774-3145,250 774-2598,58.80799643,-122.6886038
82,Coast Mountains,8225076,Early Learning Program,Suwilaawks StrongStart Centre,3430 Sparks St,Terrace,,250 638-0306,,54.52250478,-128.592018
83,North Okanagan-Shuswap,8325027,Early Learning Program,M.V. Beattie StrongStart Centre,1308 Sicamous Rd,Enderby,,250 838-6434,250 804-7790,50.55482137,-119.1426959
84,Vancouver Island West,8425079,Early Learning Program,Zeballos StrongStart Centre,675 Keno Crescent,Zeballos,,250 761-4227,250 761-4234,49.98965439,-126.8504429
91,Nechako Lakes,9125084,Early Learning Program,William Konkin StrongStart Centre,750 Carroll St,Burns Lake,,250 692-7505,,54.23590349,-125.7525899
93,Conseil scolaire francophone,9325085,Early Learning Program,Franc Depart Pionners,1618 Patricia Ave,Port Coquitlam,,604 552-7915,604 552-7916,49.2758518,-122.7610044
