SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
39,Vancouver,3925125,Early Learning Program,Renfrew Community StrongStart Centre,3315 22nd Ave E,Vancouver,,604 713-4851,604 713-4854,49.25121147,-123.032903
43,Coquitlam,4325008,Early Learning Program,Roy Stibbs StrongStart Centre,600 Fairview St,Coquitlam,,604 939-2486,,49.25380031,-122.8834025
43,Coquitlam,4325263,Early Learning Program,Central StrongStart Centre,2260 Central Ave,Port Coquitlam,,604 941-0355,,49.2555599,-122.7808767
43,Coquitlam,4325009,Early Learning Program,Riverview StrongStart Centre,700 Clearwater Way,Coquitlam,,604 945-7004,,49.2569546,-122.8059765
41,Burnaby,4125258,Early Learning Program,Stoney Creek Community StrongStart Centre,2740 Beaverbrook Cres,Burnaby,,604 296-9031,,49.2590863,-122.9036561
39,Vancouver,3925122,Early Learning Program,Florence Nightingale StrongStart Centre,2740 Guelph St,Vancouver,,604 713-5290,,49.26022459,-123.0944211
39,Vancouver,3925255,Early Learning Program,Queen Alexandra StrongStart Centre,1300 Broadway E,Vancouver,,604 713-4599,,49.26189081,-123.0769977
39,Vancouver,3925249,Early Learning Program,Thunderbird StrongStart Centre,2325 Cassiar St,Vancouver,,604 713-4611,,49.26342782,-123.0315461
39,Vancouver,3925253,Early Learning Program,Mount Pleasant StrongStart Centre,2300 Guelph St,Vancouver,,604 713-4617,,49.26393339,-123.0943456
41,Burnaby,4125005,Early Learning Program,Forest Grove StrongStart Centre,8525 Forest Grove Dr,Burnaby,,604 296-9026,,49.26484234,-122.9179593
43,Coquitlam,4325265,Early Learning Program,Cedar Drive StrongStart Centre,3150 Cedar Dr,Port Coquitlam,,604 941-3481,,49.2691945,-122.7398848
43,Coquitlam,4325137,Early Learning Program,Birchland StrongStart Centre,1331 Fraser Ave,Port Coquitlam,,604 942-6658,,49.2692642,-122.751671
41,Burnaby,4125257,Early Learning Program,Kitchener StrongStart Centre,1351 Gilmore Ave,Burnaby,,604 296-9017,,49.2729736,-123.0152813
41,Burnaby,4125256,Early Learning Program,Lochdale Community StrongStart Centre,6990 Aubrey St,Burnaby,,604 296-9019,,49.27305427,-122.9608079
39,Vancouver,3925416,Early Learning Program,Admiral Seymour StrongStart Centre,1130 Keefer St,Vancouver,,604 713-4641,,49.2786789,-123.0802888
43,Coquitlam,4325268,Early Learning Program,Seaview StrongStart Centre,1215 Cecile Dr,Port Moody,,604 936-9991,,49.280187,-122.8771578
39,Vancouver,3925315,Early Learning Program,Xpey' StrongStart Centre,1950 Hastings St E,Vancouver,,604 713-4696,,49.28055384,-123.0647057
39,Vancouver,3925247,Early Learning Program,Tillicum Annex StrongStart Centre,2450 Cambridge St,Vancouver,,604 713-4716,,49.2864098,-123.055495
43,Coquitlam,4325141,Early Learning Program,Coquitlam River StrongStart Centre,4250 Shaughnessy St,Port Coquitlam,,604 942-0241,,49.288373,-122.7665142
43,Coquitlam,4325267,Early Learning Program,Meadowbrook StrongStart Centre,195 Barber St,Port Moody,,604 469-9288,,49.2953364,-122.8550299
44,North Vancouver,4425143,Early Learning Program,Lynnmour StrongStart Centre,800 Forsman Ave,North Vancouver,,604 903-3590,604 903-3591,49.31433122,-123.0305828
44,North Vancouver,4425269,Early Learning Program,Seymour Heights StrongStart Centre,2640 Carnation St,North Vancouver,,604 903-3760,604 903-3761,49.31863657,-123.0008545
44,North Vancouver,4425144,Early Learning Program,Norgate StrongStart Centre,1295 Sowden St,North Vancouver,,604 903-3680,604 903-3681,49.32110439,-123.1103507
44,North Vancouver,4425142,Early Learning Program,Eastview StrongStart Centre,1801 Mountain Hwy,North Vancouver,,604 903-3520,604 903-3521,49.3249295,-123.0398737
69,Qualicum,6925087,Early Learning Program,MDC StrongStart Partnership,499 W Island Hwy,Parksville,,250 947-8252,,49.325335,-124.327847
45,West Vancouver,4525047,Early Learning Program,Hollyburn StrongStart Centre,1329 Duchess Ave,West Vancouver,,604 981-1220,,49.3298891,-123.1521542
44,North Vancouver,4425270,Early Learning Program,Boundary StrongStart Centre,750 E 26th St,North Vancouver,,604 903-3260,604 903-3261,49.33365897,-123.052541
20,Trail,2025211,Early Learning Program,Robson StrongStart Centre,3131 Waldie Ave,Robson,,250 365-5922,,49.3354425,-117.6985053
53,Southern Okanagan,5325011,Early Learning Program,Okanagan Falls StrongStart Centre,1141 Cedar St,Okanagan Falls,,250 497-5414,250 597-8279,49.3421,-119.575
69,Qualicum,6925171,Early Learning Program,Qualicum Beach StrongStart Centre,744 Primrose St,Qualicum Beach,,250 752-5176,,49.34503133,-124.4438178
45,West Vancouver,4525145,Early Learning Program,Eagle Harbour StrongStart Centre,5575 Marine Dr,West Vancouver,,604 981-1380,,49.35365469,-123.2597197
44,North Vancouver,4425271,Early Learning Program,Montroyal StrongStart Centre,5310 Sonora Dr,North Vancouver,,604 903-3650,604 903-3651,49.36110857,-123.0976618
78,Fraser-Cascade,7825072,Early Learning Program,Coquihalla StrongStart Centre,455 6 AVE,Hope,,604 826-9239,,49.38710931,-121.4383733
46,Sunshine Coast,4625086,Early Learning Program,Gibsons StrongStart Centre,783 School Rd,Gibsons,,604 741-5787,,49.40595325,-123.5140692
46,Sunshine Coast,4625274,Early Learning Program,Roberts Creek StrongStart Centre,1088 Roberts Creek Rd,Roberts Creek,,604 741-5787,604 885-2617,49.4233587,-123.6438959
58,Nicola-Similkameen,5825058,Early Learning Program,John Allison StrongStart Centre,499 Corina Ave,Princeton,,250 295-6727,,49.45712065,-120.5293862
46,Sunshine Coast,4625048,Early Learning Program,Sechelt StrongStart Centre,5538 Shorncliffe Ave,Sechelt,,604 741-5787,604 885-2617,49.47295905,-123.7644054
46,Sunshine Coast,4625273,Early Learning Program,Halfmoon Bay StrongStart Centre,8086 Northwood Rd RR 1,Halfmoon Bay,,604 741-5787,604 885-2617,49.48227983,-123.8849309
67,Okanagan-Skaha,6725293,Early Learning Program,Carmi StrongStart Centre,400 Carmi Ave,Penticton,,250 770-7697,250 770-7619,49.4824,-119.581
67,Okanagan-Skaha,6725294,Early Learning Program,Columbia StrongStart Centre,1437 Allison St,Penticton,,250 770-7676,250 770-7677,49.486,-119.557
67,Okanagan-Skaha,6725024,Early Learning Program,Queens Park StrongStart Centre,330 Power St,Penticton,,250 770-7680,250 770-7681,49.4961433,-119.6028152
5,Southeast Kootenay,525017,Early Learning Program,Amy Woodland StrongStart Centre,911 6th St S,Cranbrook,,250 426-7258,250 426-1815,49.5025578,-115.7677916
5,Southeast Kootenay,525088,Early Learning Program,Isabella Dicken StrongStart Centre,1302 Second Ave,Fernie,,250 423-4651,250 423-7661,49.51045198,-115.0550843
5,Southeast Kootenay,525028,Early Learning Program,Steeples StrongStart Centre,700 24th Ave N,Cranbrook,,250 426-3352,250 426-0620,49.5181,-115.747
67,Okanagan-Skaha,6725167,Early Learning Program,Giant's Head StrongStart Centre,10503 Prairie Valley Rd,Summerland,,250 770-7671,250 770-7672,49.59684036,-119.684753
46,Sunshine Coast,4625146,Early Learning Program,Madeira Park StrongStart Centre,5012 Gonzales Rd,Madeira Park,,604 741-5787,604 885-2617,49.62106213,-124.0259147
6,Rocky Mountain,625089,Early Learning Program,Blarchmont Learning Centre,1850 Warren Ave,Kimberley,,250 427-5309,250 342-6966,49.67132997,-115.9794335
71,Comox Valley,7125068,Early Learning Program,Courtenay StrongStart Centre,1540 McPhee Ave,Courtenay,,250 338-5396,,49.68225916,-124.9982367
71,Comox Valley,7125173,Early Learning Program,Brooklyn StrongStart Centre,1475 Noel Ave,Comox,,250 339-4866,,49.6869996,-124.9048033
48,Sea to Sky,4825275,Early Learning Program,Valleycliffe StrongStart Centre,38430 Westway Ave,Squamish,,604 892-9394,,49.7032708,-123.1229528
48,Sea to Sky,4825051,Early Learning Program,Sea to Sky StrongStart Centre,38370 Buckley Ave,Squamish,,604 892-5796,,49.70472025,-123.1494693
