,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
1436,2020-02-29,Chrys Krystal,Child Care Centre,Central West Region,Regional Municipality of Peel,Royal Day Care Centre,5816,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1986-05-05,Active,,English,5650,Montevideo,Road,Mississauga,ON,L5N 4E4,
1437,2020-02-29,Church Street School Day Care Service Inc.,Child Care Centre,Central East Region,City of Toronto,Church Street School Day Care Service Inc.,1904,"Half day(Less than 6 hours in a day), Before school, After school",1979-05-22,Active,,English,83,Alexander,Street,Toronto,ON,M4Y 1B7,
1438,2020-02-29,Church Wardens of Grace Church-On-The-Hill,Child Care Centre,Central West Region,City of Toronto,Grace Church-On-The-Hill Child Care Centre (Church Wardens of Grace),12252,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1992-09-22,Active,,English,300,Lonsdale,Road,Toronto,ON,M4V 1X4,
1439,2020-02-29,Church of St John the Evangelist,Child Care Centre,North Region,District of Sault Ste Marie Social Services Administration Board,St John’s Bay to Basics Children’s Centre 2,6752,After school,2013-10-22,Inactive,2014-03-25,English,136,John,Street,Sault Ste. Marie,ON,P6A 1P1,
1440,2020-02-29,Church of St John the Evangelist,Child Care Centre,North Region,District of Sault Ste Marie Social Services Administration Board,St. John's Back to Basics Children's Centre,4570,After school,2008-05-12,Inactive,,English,136,John,Street,Sault Ste. Marie,ON,P6A 1P1,
1441,2020-02-29,Church of St. Jude (A Child's Place Daycare Centre),Child Care Centre,Central East Region,City of Toronto,A Child's Place Daycare Centre  (Church of St. Jude),12210,"Full Day(6 hours or more in a day), Before school, After school",1988-05-10,Inactive,,English,10,Howarth,Avenue,Toronto,ON,M1R 1H4,
1442,2020-02-29,Church of St. Peter's Children's Day Care Centre of Hamilton,Child Care Centre,West Region,City of Hamilton,Church of St. Peter's Children's Day Care Centre,2421,"Full Day(6 hours or more in a day), After school",1979-05-22,Active,,English,705,Main,Street,Hamilton,ON,L8M 1K8,
1443,2020-02-29,Church of St. Peter's Children's Day Care Centre of Hamilton,Child Care Centre,West Region,City of Hamilton,St. Peter's Day Care Before and After School Program,55675,"Before school, After school",2014-10-02,Active,,English,71,Maplewood,Avenue,Hamilton,ON,L8M 1W7,
1444,2020-02-29,Church of St. Thomas' Children's Day Care Centre of St. Catharines,Child Care Centre,West Region,Regional Municipality of Niagara,St. Thomas' Day Care,4389,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1981-10-07,Active,,English,99,Ontario,Street,St. Catharines,ON,L2R 5J6,
1445,2020-02-29,Church of the Nazarene,Child Care Centre,West Region,Regional Municipality of Halton,SEEDLINGS CHILDREN'S CENTRE,6020,Full Day(6 hours or more in a day),2012-03-12,Active,,English,320,Bronte,Road,Oakville,ON,L6L 3C8,
1446,2020-02-29,Church of the Nazarene,Child Care Centre,West Region,Regional Municipality of Halton,Seedlings Children's Centre - School Age,6213,"Before school, After school",2012-08-10,Inactive,2018-02-01,English,320,Bronte,Road,Oakville,ON,L6L 3C8,
1447,2020-02-29,Church of the Nazarene of Brampton,Child Care Centre,Central West Region,Regional Municipality of Peel,Happy Life Child Care Centre,4054,Full Day(6 hours or more in a day),1980-12-10,Active,,English,68,Rutherford,Road,Brampton,ON,L6V 2J1,
1448,2020-02-29,Churchill Carling Day Care Ltd.,Child Care Centre,East Region,City of Ottawa,Churchill Carling Daycare,12426,Full Day(6 hours or more in a day),1987-09-30,Active,,English,724,Churchill,Avenue,Ottawa,ON,K1Z 5G5,
1449,2020-02-29,Churchill Carling Day Care Ltd.,Child Care Centre,East Region,City of Ottawa,Churchill Carling Daycare KSA Division,6006,Full Day(6 hours or more in a day),2012-02-23,Active,,English,715,Roosevelt,Avenue,Ottawa,ON,K2A 2A8,
1450,2020-02-29,Churchill Chums School Age Child Care Centre,Child Care Centre,Central East Region,City of Toronto,Churchill Chums School Age Child Care Centre,6824,"Before school, After school",1985-10-15,Active,,English,188,Churchill,Avenue,Toronto,ON,M2N 1Z5,
1451,2020-02-29,Cindy Kreps,Child Care Centre,East Region,City of Kingston,Building Blocks Nursery School,36045,Half day(Less than 6 hours in a day),1997-04-30,Inactive,2020-01-06,English,130,Lakeview,Avenue,Kingston,ON,K7M 3T5,
1452,2020-02-29,Cindy Neily,Child Care Centre,Southwest Region,City of Brantford,The Village Playschool,23087,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1998-11-01,Inactive,,English,9,Beverly,Street,St. George,ON,N0E 1N0,
1453,2020-02-29,Circle of Friends Day Care Incorporated,Child Care Centre,East Region,City of Kingston,Circle of Friends Day Care,7336,"Full Day(6 hours or more in a day), Before school, After school",1985-10-15,Inactive,,English,38,Cowdy,Street,Kingston,ON,K7K 3V9,
1454,2020-02-29,Circle of Friends Day Care Incorporated,Child Care Centre,East Region,City of Kingston,Circle of Friends Day Care,56623,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2016-09-03,Active,,English,30,Lyons,Street,Kingston,ON,K7M 2X5,
1455,2020-02-29,City of Cornwall/Ville de Cornwall,Child Care Centre,East Region,City of Cornwall,Richelieu Day Care,1582,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1979-05-22,Active,,English,305,York,Street,Cornwall,ON,K6J 3Z4,
1456,2020-02-29,City of Cornwall/Ville de Cornwall,Home Child Care Agency,East Region,City of Cornwall,City of Cornwall Private Home Daycare,P4U13,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Extended hours(more than 12 hours), Flexible Hours(e.g. shifts, evenings), Before school, After school, Overnight, Weekend",1999-06-29,Active,,English,340,Pitt,Street,Cornwall,ON,K6H 5T9,
1457,2020-02-29,Claire Baker,Child Care Centre,East Region,United Counties of Leeds & Grenville,EduCare Children's Centre - Oxford,57005,"Before school, After school",2017-08-31,Inactive,2018-04-25,English,50,Water,Street,Oxford on Rideau,ON,K0G 1J0,
1458,2020-02-29,Claire Baker,Child Care Centre,East Region,United Counties of Leeds & Grenville,EduCare Children's Centre - Sweets,56991,"Before school, After school",2017-08-30,Inactive,2018-09-05,English,276,Lyndhurst,Road,Lyndhurst,ON,K0E 1N0,
1459,2020-02-29,Claire Baker,Child Care Centre,East Region,United Counties of Leeds & Grenville,EduCare Children's Centre-Spencerville,56577,"Before school, After school",2016-08-26,Active,,English,7,Henderson Street,,Spencerville,ON,K0E 1X0,
1460,2020-02-29,Claire Baker,Child Care Centre,East Region,United Counties of Leeds & Grenville,Educare Children's Centre,2240,"Full Day(6 hours or more in a day), Before school, After school",2003-09-02,Active,,English,29,Central,Avenue,Brockville,ON,K6V 4N6,
1461,2020-02-29,Claire Baker,Child Care Centre,East Region,United Counties of Leeds & Grenville,Johnstown Educare Children's Centre,3355,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2005-09-06,Active,,English,8,Second,Street,Johnstown,ON,K0E 1T0,
1462,2020-02-29,Claire Dimock Children's Centre,Child Care Centre,North Region,Algoma District Services Administration Board,Claire Dimock Children's Centre,1016,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2000-05-28,Active,,English,12,Westhill,Road,Elliot Lake,ON,P5A 1A5,
1463,2020-02-29,Clanmore Montessori School Inc.,Child Care Centre,West Region,Regional Municipality of Halton,Clanmore Montessori School,20182,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1998-09-08,Active,,English,2463,Lakeshore,Road,Oakville,ON,L6J 1M7,
1464,2020-02-29,Clarkson Co-operative Nursery School,Child Care Centre,Central West Region,Regional Municipality of Peel,Clarkson Co-operative Nursery School,344,Half day(Less than 6 hours in a day),1979-05-22,Active,,English,1700,Mazo,Crescent,Mississauga,ON,L5J 1Y9,
1465,2020-02-29,Clearview School of Arts and Culture Inc.,Child Care Centre,Central East Region,City of Toronto,Clearview Child Care Centre,57620,"Full Day(6 hours or more in a day), Before school, After school",2019-03-15,Active,,English,1300,Don Mills Rd,,Toronto,ON,M2B 2W6,
1466,2020-02-29,Cliffcrest Community Centre,Child Care Centre,Central East Region,City of Toronto,Cliffcrest Day Care Centre (2938 Eglinton Avenue East),5009,Full Day(6 hours or more in a day),2009-07-02,Active,,English,2938,Eglinton,Avenue,Toronto,ON,M1J 2E4,
1467,2020-02-29,Cliffcrest Community Centre,Child Care Centre,Central East Region,City of Toronto,Heart Beatz - Halbert Child Care Site,56214,"Full Day(6 hours or more in a day), Before school, After school",2015-09-05,Active,,English,25,Halbert,Place,Scarborough,ON,M1M 0E1,
1468,2020-02-29,Cliffcrest Community Centre,Child Care Centre,Central East Region,City of Toronto,Heart Beatz Child Care - Cliffcrest Site,57172,Full Day(6 hours or more in a day),2018-05-06,Inactive,2019-03-11,English,2850,Eglinton,Avenue,Scarborough,ON,M1J 2C8,
1469,2020-02-29,Cliffcrest Community Centre,Child Care Centre,Central East Region,City of Toronto,Heart Beatz Child Care - Cliffcrest Site,57220,"Before school, After school",2018-07-20,Inactive,2019-09-03,English,1300,Danforth,Road,Scarborough,ON,M1J 1E8,
1470,2020-02-29,Cliffcrest Community Centre,Child Care Centre,Central East Region,City of Toronto,Heart Beatz Child Care - Solaris Site (Op:  Cliffcrest Community Child Care),5967,Full Day(6 hours or more in a day),2011-12-08,Active,,English,141,Village Green,Square,Toronto,ON,M1S 1L3,
1471,2020-02-29,Clifford Nursery School,Child Care Centre,West Region,County of Wellington,Clifford Cooperative Nursery School,28037,Half day(Less than 6 hours in a day),1999-04-12,Inactive,2014-02-06,English,17,Allan,Street,Clifford,ON,N0G 1M0,
1472,2020-02-29,Cliffwood Community Child Care - North York,Child Care Centre,Central East Region,City of Toronto,Cliffwood Community Child Care - North York,11813,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1988-11-25,Active,,English,140,Cliffwood,Road,Toronto,ON,M2H 2E4,
1473,2020-02-29,Clinton Co-operative Childcare Centre Inc.,Child Care Centre,Southwest Region,County of Huron,Clinton Co-operative Child Care Centre,5204,"Full Day(6 hours or more in a day), Before school, After school",2009-09-02,Active,,English,27,Percival,Street,Clinton,ON,N0M 1L0,
1474,2020-02-29,Clinton Co-operative Childcare Centre Inc.,Child Care Centre,Southwest Region,County of Huron,KIDS' CORNER,5837,"Before school, After school",2011-09-01,Active,,English,125,Blake,Street,Goderich,ON,N7A 1Z1,
1475,2020-02-29,Clinton Co-operative Childcare Centre Inc.,Child Care Centre,Southwest Region,County of Huron,ST. JOSEPH'S SCHOOL AGE PROGRAM,3691,"Before school, After school",2006-08-29,Active,,English,297,Smith,Street,Clinton,ON,N0M 1L0,
1476,2020-02-29,Closer II Home Programs Ltd,Child Care Centre,Central West Region,Regional Municipality of Peel,Closer II Home Programs,56960,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2017-08-25,Active,,English,10,Squire Ellis,Drive,Brampton,ON,M1M 1M1,
1477,2020-02-29,Closer to Home Child Care Centre Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Closer to Home Child Care Centre,4053,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2006-12-13,Active,,English,3955,Cottrelle,Boulevard,Brampton,ON,L6P 2P9,
1478,2020-02-29,Clovalyn Wilson,Child Care Centre,Central West Region,Regional Municipality of Peel,Happyland Nursery School,12750,Half day(Less than 6 hours in a day),1991-12-16,Inactive,2015-05-28,English,3091,Victory,Crescent,Mississauga,ON,L4T 1L5,
1479,2020-02-29,Cobblestone Child Care Centre Ltd.,Child Care Centre,Southwest Region,City of Brantford,Cobblestone Child Care Centre,57661,"Full Day(6 hours or more in a day), Before school, After school",2019-05-31,Active,,English,1084,Rest Acres,Road,Paris,ON,N3L 0B5,
1480,2020-02-29,Cobourg Day Care,Child Care Centre,East Region,County of Northumberland,Cobourg Day Care,13835,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1990-02-08,Active,,English,325,Alexander,Drive,Cobourg,ON,K9A 5B2,
1481,2020-02-29,Coldwater Cooperative Nursery School,Child Care Centre,North Region,County of Simcoe,Coldwater Cooperative Nursery School,2509,Half day(Less than 6 hours in a day),2004-02-12,Inactive,2015-10-22,English,20,Gray,Street,Coldwater,ON,L0K 1E0,
1482,2020-02-29,Colonel By Child Care Centre,Child Care Centre,East Region,City of Ottawa,Colonel By Child Care Centre,39022,Full Day(6 hours or more in a day),1994-02-04,Inactive,2020-01-07,English,1125,Colonel By,Drive,Ottawa,ON,K1S 5B6,
1483,2020-02-29,Columbus Community Playgroup Co-operative Inc.,Child Care Centre,Central East Region,Regional Municipality of Durham,Columbus Community Playgroup Co-operative Inc.,1079,Half day(Less than 6 hours in a day),2001-01-17,Active,,English,3265,Simcoe,Street,Oshawa,ON,L1H 7K4,
1484,2020-02-29,Columbus House (Pembroke) Inc.,Child Care Centre,East Region,County of Renfrew,Columbus House - Renfrew,55998,"Full Day(6 hours or more in a day), Before school, After school",2015-05-15,Active,,English,140,Munroe,Street,Renfrew,ON,K0J 3K4,
1485,2020-02-29,Columbus House (Pembroke) Inc.,Child Care Centre,East Region,County of Renfrew,Young Parent Support Program - Pembroke Site,3589,Full Day(6 hours or more in a day),2006-07-01,Active,,English,73,Renfrew,Street,Pembroke,ON,K8A 5R7,
1486,2020-02-29,Columbus House (Pembroke) Inc.,Child Care Centre,East Region,County of Renfrew,Young Parent Support Program - Renfrew Site,3609,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2006-07-24,Inactive,2015-05-19,English,291,Plaunt,Street,Renfrew,ON,K8V 1N2,
1487,2020-02-29,Community Centre 55 - Children Services,Child Care Centre,Central East Region,City of Toronto,Community Centre 55,55616,"Before school, After school",2014-08-30,Active,,English,400,Scarborough,Road,Toronto,ON,M4E 3M8,
1488,2020-02-29,Community Centre 55 - Children Services,Child Care Centre,Central East Region,City of Toronto,Community Centre 55 - Children Services (97 Main Street),2500,"Half day(Less than 6 hours in a day), Before school, After school",2004-05-28,Active,,English,97,Main,Street,Toronto,ON,M4E 2V6,
1489,2020-02-29,Community Centre 55 - Children Services,Child Care Centre,Central East Region,City of Toronto,Community Centre 55 - Kimberly Public School,3702,"Before school, After school",2006-09-06,Active,,English,50,Swanwick,Avenue,Toronto,ON,M4E 2Z5,
1490,2020-02-29,Community Centre 55 - Children Services,Child Care Centre,Central East Region,City of Toronto,Community Centre 55 - Ted Reeves Arena,6654,Full Day(6 hours or more in a day),2013-08-14,Active,,English,175,Main,Street,Toronto,ON,M4E 2W2,
1491,2020-02-29,Community Child Care of Ottawa,Home Child Care Agency,East Region,City of Ottawa,Community Child Care of Ottawa,P4U24,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Extended hours(more than 12 hours), Flexible Hours(e.g. shifts, evenings), Before school, After school, Overnight, Weekend",2000-02-24,Active,,English,2,MacNeil,Court,Kanata,ON,K2L 4H7,
1492,2020-02-29,Community Co-operative Preschool Inc.,Child Care Centre,East Region,City of Ottawa,Community Coop Preschool,546,Half day(Less than 6 hours in a day),1979-05-22,Active,,English,8,Withrow,Avenue,Nepean,ON,K2G 2H6,
1493,2020-02-29,Community Connection (Cumberland Township),Child Care Centre,East Region,City of Ottawa,Cumberland Hub Day Care,14302,"Full Day(6 hours or more in a day), Before school, After school",1990-12-13,Active,,English,103-261,Tompkins,Avenue,Orléans,ON,K1E 3K9,
1494,2020-02-29,Community Cooperative Children's Services,Child Care Centre,North Region,Algoma District Services Administration Board,Community Cooperative Children's Centre,6526,Full Day(6 hours or more in a day),2013-01-23,Inactive,2014-09-01,English,232,Northern,Avenue,Sault Ste. Marie,ON,P6B 4H6,
1495,2020-02-29,Community Cooperative Children's Services,Child Care Centre,North Region,District of Sault Ste Marie Social Services Administration Board,Community Co-Operative Children's Centre,55629,"Full Day(6 hours or more in a day), Before school, After school",2014-08-31,Active,,English,735,North,Street,Sault Ste. Marie,ON,P6B 2C4,
1496,2020-02-29,Community Partners for Success Co-operative Quinte Inc.,Child Care Centre,East Region,County of Hastings,Community Partners Belleville Child Care and Resource Centre,57768,Full Day(6 hours or more in a day),2019-08-23,Active,,English,516,Victoria,Avenue,Belleville,ON,K8N 2G5,
1497,2020-02-29,Community Partners for Success Co-operative Quinte Inc.,Child Care Centre,East Region,County of Hastings,Community Partners Child Care and Resource Belleville,5030,Full Day(6 hours or more in a day),2009-07-29,Inactive,2019-09-03,English,41,Octavia,Street,Belleville,ON,K8P 3P1,
1498,2020-02-29,Community Partners for Success Co-operative Quinte Inc.,Child Care Centre,East Region,County of Hastings,Community Partners Sacred Heart Batawa Before and After School Program,55552,"Before school, After school",2014-08-29,Active,,English,31,Thomas Bata,Boulevard,Batawa,ON,K0K 1E0,
1499,2020-02-29,Community Partners for Success Co-operative Quinte Inc.,Child Care Centre,East Region,County of Hastings,Community Partners Stockdale Public School Before and After School Program,4396,"Before school, After school",2007-10-02,Active,,English,994,Will Johnson,Road,Frankford,ON,K0K 2C0,
1500,2020-02-29,Community Resource Centre (Killaloe) Inc.,Child Care Centre,East Region,County of Renfrew,Kidz Kastle Children's Centre,3577,"Full Day(6 hours or more in a day), Before school, After school",2006-07-01,Active,,English,100,Queen,Street,Killaloe,ON,K0J 2A0,
1501,2020-02-29,Community Resource Centre (Killaloe) Inc.,Child Care Centre,East Region,County of Renfrew,Kidz Kastle St John Bosco,56894,"Before school, After school",2017-08-14,Active,,English,99,Peter,Street,Barrys Bay,ON,K0J 1B0,
1502,2020-02-29,Community Resource Centre (Killaloe) Inc.,Child Care Centre,North Region,District of Nipissing Social Services Administration Board,Kidz Kastle Whitney,57652,"Full Day(6 hours or more in a day), Before school, After school",2019-05-04,Active,,English,6,Galeariy Lake,Road,Whitney,ON,K0J 2M0,
1503,2020-02-29,Community Resource Centre of North and Centre Wellington,Child Care Centre,West Region,County of Wellington,COMMUNITY RESOURCE CENTRE CHILDCARE - ST. JOSEPH'S SCHOOL,6172,"Before school, After school",2012-07-31,Active,,English,,150 Strathallan St.,,Fergus,ON,N1M 1A1,
1504,2020-02-29,Community Resource Centre of North and Centre Wellington,Child Care Centre,West Region,County of Wellington,Community Resource Centre Child Care - JD Hogarth School,14581,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1991-05-06,Active,,English,360,A Belsyde,Avenue,Fergus,ON,N1M 3R8,
1505,2020-02-29,Community Resource Centre of North and Centre Wellington,Child Care Centre,West Region,County of Wellington,Community Resource Centre Childcare at James McQueen School,55627,"Before school, After school",2014-08-31,Active,,English,365,St. George,Street,Fergus,ON,N1M 1J4,
1506,2020-02-29,Community Resource Centre of North and Centre Wellington,Child Care Centre,West Region,County of Wellington,Community Resource Centre at Elora Public School,6705,"Before school, After school",2013-08-23,Inactive,,English,288,Mill,Street,Elora,ON,N0B 1S0,
1507,2020-02-29,Community Support Centre of Haldimand-Norfolk,Child Care Centre,West Region,Norfolk County,CYPRES - JL Mitchener School Before and After,55416,"Before school, After school",2014-07-23,Active,,English,66,Munsee,Street,Cayuga,ON,N0A 1H0,
1508,2020-02-29,Community Support Centre of Haldimand-Norfolk,Child Care Centre,West Region,Norfolk County,CYPRES - Oneida Central School Before and After,55415,"Before school, After school",2014-07-23,Inactive,2016-08-09,English,661,4th Line,Road,Caledonia,ON,N3W 2B2,
1509,2020-02-29,Community Support Centre of Haldimand-Norfolk,Child Care Centre,West Region,Norfolk County,CYPRES - River Heights School Before and After,55412,"Before school, After school",2014-07-10,Active,,English,37,Forfar,Street,Caledonia,ON,N3W 1L6,
1510,2020-02-29,Community Support Centre of Haldimand-Norfolk,Child Care Centre,West Region,Norfolk County,CYPRES Active Living Centre - Centennial School Before and After,5890,"Before school, After school",2011-09-06,Active,,English,110,Shetland,Street,Caledonia,ON,N3W 1B4,
1511,2020-02-29,Community Support Centre of Haldimand-Norfolk,Child Care Centre,West Region,Norfolk County,CYPRES Active Living Centre - St. Patrick's BASP,5894,"Before school, After school",2011-09-06,Active,,English,81,Orkney,Street,Caledonia,ON,N3W 1L3,
1512,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,Blessed Trinity School Age Program - Before and After School,235,"Before school, After school",2000-01-20,Active,,English,230,Hawker,Road,Maple,ON,L6A 2R2,
1513,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,Community of Maple Child Care Services - Father John Kelly,13255,Full Day(6 hours or more in a day),1990-04-02,Active,,English,9350,Keele,Street,Maple,ON,L6A 1P4,
1514,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,Community of Maple Child Care Services - St. Joan of Arc - FD,19029,Full Day(6 hours or more in a day),1994-10-27,Active,,English,1,St.Joan Arc,Avenue,Maple,ON,L6A 1W9,
1515,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,Our Lady of Peace School Age Program,6401,"Before school, After school",2012-11-16,Inactive,,English,301,Barrhill,Road,Maple,ON,L6A 1J5,
1516,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,St. Cecilia School Age Program,5563,"Before school, After school",2010-11-29,Active,,English,300,Peter Rupert,Avenue,Maple,ON,L6A 4P3,
1517,2020-02-29,Community of Maple Child Care Services,Child Care Centre,Central North Region,Regional Municipality of York,St. Michael the Archangel School Age Program,6267,"Before school, After school",2012-09-04,Active,,English,161,Via Campanile,,Woodbridge,ON,L4H 3K5,
1518,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Bowmanville,4463,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2007-09-04,Active,,English,125,Aspen Springs,Drive,Bowmanville,ON,L1C 3V9,
1519,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Charles Bowman,5774,"Before school, After school",2011-09-06,Active,,English,195,Bons,Avenue,Bowmanville,ON,L1C 0L3,
1520,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Courtice,13870,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1991-12-16,Active,,English,78,Glenabbey,Drive,Courtice,ON,L1E 2B6,
1521,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Good Shepherd,964,"Before school, After school",2000-10-30,Active,,English,20,Farmington,Drive,Courtice,ON,L1E 3B9,
1522,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Harold Longworth,6606,"Before school, After school",2013-07-31,Active,,English,350,Longworth,Avenue,Bowmanville,ON,L1C 5J5,
1523,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Kirby,56128,"Before school, After school",2015-08-21,Inactive,2018-09-04,English,3675,Concession,Road,Orono,ON,L0B 1M0,
1524,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Monsignor Leo Cleary,56944,"Before school, After school",2017-08-24,Active,,English,3820,Courtice Rd,Road,Courtice,ON,L1E 2L5,
1525,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central East Region,Regional Municipality of Durham,CELC-Orono,56556,"Before school, After school",2016-08-16,Active,,English,171,Church,Street,Clarington.,ON,L0B 1M0,
1526,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC- Leslie Frost,55592,"Before school, After school",2014-08-29,Active,,English,51,Angeline,Street,Lindsay,ON,K9V 3L1,
1527,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC- Minden,57207,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2018-06-22,Active,,English,16,Prentice,Street,Minden,ON,K0M 2K0,
1528,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Archie Stouffer,57208,"Before school, After school",2018-06-22,Active,,English,12,Vintage,Crescent,Minden,ON,K0M 2K0,
1529,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Discovery Space,1597,Half day(Less than 6 hours in a day),2002-02-14,Inactive,,English,230,Angeline,Street,Lindsay,ON,K9V 4R2,
1530,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Fenelon,57318,"Before school, After school",2018-08-31,Active,,English,50,Cameron,Road,Cameron,ON,K0M 1G0,
1531,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Jack Callaghan,55555,"Before school, After school",2014-08-29,Active,,English,5,Tracey Hill,Road,Lindsay,ON,K9V 4R5,
1532,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Lindsay,13,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",2000-01-01,Active,,English,320,Mary,Street,Lindsay,ON,K9V 5X5,
1533,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Parkview,56555,"Before school, After school",2016-08-16,Active,,English,133,Adelaide,Street,Lindsay,ON,K9V 4R2,
1534,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Rolling Hills,16,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1996-09-03,Active,,English,694,Highway 7A,,Bethany,ON,L0A 1A0,
1535,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Victoria Graduate,5000,Full Day(6 hours or more in a day),2009-04-01,Active,,English,24,Weldon,Road,Lindsay,ON,K9V 4R6,
1536,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Kawartha Lakes,CELC-Woodville,57089,"Before school, After school",2018-01-11,Active,,English,109,Nappadale,Street,Woodville,ON,K0M 1T0,
1537,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC - Kawartha Height's School Age Program,3248,After school,2005-09-08,Active,,English,11,Kawartha Heights,Boulevard,Peterborough,ON,K9J 1N4,
1538,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC - St. Anne School Age Program,6295,"Full Day(6 hours or more in a day), Before school, After school",2012-09-04,Active,,English,240,Bellevue,Street,Peterborough,ON,K9H 5S5,
1539,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC- North Cavan School Age Program,56127,"Before school, After school",2015-08-21,Active,,English,2001,County Road 10  RR#2,,Cavan,ON,L0A 1C0,
1540,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC- Prince of Wales,794,After school,2000-08-31,Active,,English,1211,Monaghan,Road,Peterborough,ON,K9J 5L4,
1541,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC- RF Downey,2792,After school,2004-10-04,Active,,English,1221,Neptune,Street,Peterborough,ON,K9H 7L9,
1542,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC-Apsley,5342,Full Day(6 hours or more in a day),2010-05-17,Active,,English,238,Burleigh,Street,Apsley,ON,K9J 7X6,
1543,2020-02-29,Compass Early Learning and Care,Child Care Centre,Central North Region,City of Peterborough,CELC-Grandview,6579,"Before school, After school",2013-07-24,Active,,English,694,Highway 7A,,Bethany,ON,L0A 1A0,
