,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
23,2020-02-29,1119951 Ontario Ltd.,Child Care Centre,Central West Region,Regional Municipality of Peel,Mind Valley Montessori School,20062,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), After school",1995-07-31,Inactive,2019-11-14,English,18,King,Street,Bolton,ON,L7E 1E8,
24,2020-02-29,1121045 Ontario Inc./ABC Day Nursery (Facility #15079),Child Care Centre,Central North Region,City of Toronto,ABC Day Nursery - 1121045 Ontario Inc.,15079,"Full Day(6 hours or more in a day), Before school, After school",1995-06-23,Inactive,2019-12-02,English,145,Marlee,Avenue,Toronto,ON,M6B 3H3,
25,2020-02-29,1139176 Ontario Inc. (Central Montessori PreSchool),Child Care Centre,Central East Region,City of Toronto,Central Montessori PreSchool - 1139176 Ontario Inc. - # 16042 (200 Sheppard),16042,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1997-08-01,Active,,English,200,Sheppard,Avenue,Toronto,ON,M2N 3A9,
26,2020-02-29,1139176 Ontario Inc. (Central Montessori PreSchool),Child Care Centre,Central East Region,City of Toronto,Central Montessori Preschool - 1139176 Ontario Inc - #15094 (157 Florence),15094,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1995-09-21,Inactive,2014-10-01,English,157,Florence,Avenue,Toronto,ON,M2N 1G5,
27,2020-02-29,1140306 Ontario Limited,Child Care Centre,Central West Region,Regional Municipality of Peel,ABC Montessori II,2154,Full Day(6 hours or more in a day),2003-09-02,Active,,English,285,Matheson,Boulevard,Mississauga,ON,L4Z 1X8,
28,2020-02-29,1140306 Ontario Limited,Child Care Centre,Central West Region,Regional Municipality of Peel,ABC Montessori Learning Centre,20072,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1995-11-22,Active,,English,4300,Cawthra,Road,Mississauga,ON,L4Z 1V8,
29,2020-02-29,1142309 Ontario Inc./Oxford Learning Centre,Child Care Centre,Central East Region,City of Toronto,Oxford Little Readers Program    (1142309 Ontario Inc.),16123,Half day(Less than 6 hours in a day),1998-10-09,Inactive,,English,4195,Dundas,Street,Toronto,ON,M8X 1Y4,
30,2020-02-29,1144879 Ontario Ltd.,Child Care Centre,Central West Region,Regional Municipality of Peel,Oxford Learning Centre - North Brampton,1567,Half day(Less than 6 hours in a day),2002-01-22,Inactive,,English,380,Bovaird,Drive,Brampton,ON,L6Z 2S7,
31,2020-02-29,1152901 Ontario Ltd. - Oxford Learning Centre - Woodbridge,Child Care Centre,Central North Region,Regional Municipality of York,1152901 Ontario Ltd. - Oxford Learning Centre - Woodbridge,1501,Half day(Less than 6 hours in a day),2001-11-15,Inactive,2016-02-16,English,4550,Highway 7,,Woodbridge,ON,L4L 4Y7,
32,2020-02-29,1168108 Ontario Inc. O/A North Bay Daycare Centre,Child Care Centre,North Region,District of Nipissing Social Services Administration Board,North Bay Daycare Centre,32036,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",1988-11-29,Active,,English,419,Haig,Street,North Bay,ON,P1B 1S9,
