CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GATVL,Oak Lake,Undetermined,,Town,Populated Place,TOWN,f84508f4beed11d892e2080020a0f4c9,49.766389,-100.62806,23-9-24-W,Manitoba,1000000,1955-01-20,Manitoba-Sustainable Development
GBPGV,Oak Lake 59A,Undetermined,,Indian Reserve,Administrative Area,IR,ec41d511bbe211d892e2080020a0f4c9,49.698889,-100.93389,,Manitoba,50000,1998-09-18,Indigenous and Northern Affairs Canada
GATVR,Oak Lake Beach,Undetermined,,Community,Populated Place,UNP,f86c18f9beed11d892e2080020a0f4c9,49.680833,-100.71278,"19,30-8-24-W",Manitoba,250000,1976-12-23,Manitoba-Sustainable Development
GATVS,Oak Lake Canada Goose Refuge,Undetermined,,Refuge,Administrative Area,PARK,f9397b1abeed11d892e2080020a0f4c9,49.666944,-100.75,13-8-25W,Manitoba,1000000,2000-12-05,Manitoba-Sustainable Development
GBLPJ,Oak Lake Game Bird Refuge,Undetermined,,Refuge,Administrative Area,PARK,61e4fb0abef911d892e2080020a0f4c9,49.639167,-100.72278,7-8-24W,Manitoba,1000000,2000-12-05,Manitoba-Sustainable Development
GBLDB,Oak Lake Provincial Park,Undetermined,,Provincial Park,Administrative Area,PARK,3fff26edbef911d892e2080020a0f4c9,49.6811104,-100.7098962,8-24W,Manitoba,1000000,2014-10-16,Manitoba-Sustainable Development
GBEZM,Oak Lake Reserve,Undetermined,,Community,Populated Place,UNP,80519fafbef411d892e2080020a0f4c9,49.620833,-100.94167,"7,8-26-W",Manitoba,50000,1983-05-25,Manitoba-Sustainable Development
GATWJ,Oak Point,Undetermined,,Community,Populated Place,UNP,f969d9f1beed11d892e2080020a0f4c9,50.506111,-98.029167,"17,18-5-W",Manitoba,1000000,1994-03-31,Manitoba-Sustainable Development
GATWR,Oak Point Settlement,Undetermined,,Settlement,Administrative Area,GEOG,fa6c55d7beed11d892e2080020a0f4c9,50.498611,-98.006944,,Manitoba,50000,1994-01-19,Manitoba-Sustainable Development
GATWX,Oak River,Undetermined,,Local Urban District,Populated Place,UNP,fa746c28beed11d892e2080020a0f4c9,50.135833,-100.43,28-13-22-W,Manitoba,250000,1998-11-30,Manitoba-Sustainable Development
GATUG,Oakbank,Undetermined,,Community,Populated Place,UNP,f71c4058beed11d892e2080020a0f4c9,49.943611,-96.842778,"21,22-11-5-E",Manitoba,1000000,1994-03-31,Manitoba-Sustainable Development
GATUM,Oakburn,Undetermined,,Community,Populated Place,UNP,f73a76bcbeed11d892e2080020a0f4c9,50.565278,-100.57889,28-18-23-W,Manitoba,1000000,1994-03-31,Manitoba-Sustainable Development
GATWB,Oakland,Undetermined,,Community,Populated Place,UNP,f955b5aebeed11d892e2080020a0f4c9,50.1075,-98.318889,14-13-7-W,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
GATWA,Oakland,Undetermined,,Rural Municipality,Administrative Area,MUN2,f94e62adbeed11d892e2080020a0f4c9,49.621111,-99.848056,,Manitoba,50000,1933-12-31,Manitoba-Sustainable Development
GATWH,Oakner,Undetermined,,Community,Populated Place,UNP,f96286f0beed11d892e2080020a0f4c9,50.09,-100.58889,8-13-23-W,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
