CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GBSOE,Norway House 17C-19,Undetermined,,Indian Reserve,Administrative Area,IR,7f3a7f7c841d46e1a824439069948071,54.248855,-96.638916,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNN,Norway House 17C-2,Undetermined,,Indian Reserve,Administrative Area,IR,a5a62681dd4246a2ba0f6fb24c693e61,54.219696,-97.019314,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOF,Norway House 17C-20,Undetermined,,Indian Reserve,Administrative Area,IR,776f095f63b8401eaa56cca9d6d09d84,54.231079,-96.649017,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOG,Norway House 17C-21,Undetermined,,Indian Reserve,Administrative Area,IR,e03cd512475342538694df40ed678686,54.215023,-96.626411,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOH,Norway House 17C-22,Undetermined,,Indian Reserve,Administrative Area,IR,ebebd1ccd8104970a8074962f4799bd1,54.224804,-96.608696,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOI,Norway House 17C-23,Undetermined,,Indian Reserve,Administrative Area,IR,78b18552b59a4c3abf828faf6d041fed,54.220274,-96.603905,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOJ,Norway House 17C-24,Undetermined,,Indian Reserve,Administrative Area,IR,bb82bbd1950e4ac78b55f0f3706a0d55,54.230579,-96.573818,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOK,Norway House 17C-25,Undetermined,,Indian Reserve,Administrative Area,IR,f0523dda3938442dab79c27a08105c2e,54.233715,-96.675415,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOL,Norway House 17C-26,Undetermined,,Indian Reserve,Administrative Area,IR,0fd53cdcfada435599ac85fc673900a0,54.223507,-96.737911,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOM,Norway House 17C-27,Undetermined,,Indian Reserve,Administrative Area,IR,5544e1e780984007b65ea69a357b310f,54.206345,-96.676697,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSON,Norway House 17C-28,Undetermined,,Indian Reserve,Administrative Area,IR,7660034f2f484aeb918767a5fdb999f9,54.177429,-96.683891,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOO,Norway House 17C-29,Undetermined,,Indian Reserve,Administrative Area,IR,31c99b6450d94a04b41cae43681c53c4,54.182655,-96.667446,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSNO,Norway House 17C-3,Undetermined,,Indian Reserve,Administrative Area,IR,5179862cbea343e983dd948136a42f53,54.19738,-97.043755,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOP,Norway House 17C-30,Undetermined,,Indian Reserve,Administrative Area,IR,031d79de4a5b4cf59063d6effa4ee5f2,54.177833,-96.642433,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOQ,Norway House 17C-31,Undetermined,,Indian Reserve,Administrative Area,IR,dec59ce7a0344767b0cee98dce27c875,54.203415,-96.618401,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOR,Norway House 17C-32,Undetermined,,Indian Reserve,Administrative Area,IR,dbe9eec5905e42d1bfe1f01885356c6c,54.204002,-96.572025,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOS,Norway House 17C-33,Undetermined,,Indian Reserve,Administrative Area,IR,ef54fac7b1a845fda333812d2298f0a1,54.205067,-96.565586,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOT,Norway House 17C-34,Undetermined,,Indian Reserve,Administrative Area,IR,25780f6730a4401a9f177b84f1a27e6a,54.205295,-96.556068,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSOU,Norway House 17C-35,Undetermined,,Indian Reserve,Administrative Area,IR,6f10766593b34d39a129c000d08e2aa0,54.208385,-96.563782,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
