,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
0,ISHINE CHILDCARE,OUT OF SCHOOL CARE PROGRAM,01CBDCE576D43FEC1C7034AD38112D83,12,Day Care,CALGARY,211 - 47 STREET SE,T2A1N9,Province of Alberta
1,CALGARY KIDS MONTESSORI ACADEMY LTD.,OUT OF SCHOOL CARE PROGRAM,0F9AD84BF1F6DCE62AF64053EED3227E,15,Day Care,CALGARY,"#110, 9937 FAIRMOUNT DRIVE SE",T2J0S2,Province of Alberta
2,METIS CALGARY FAMILY SERVICES SOCIETY LITTLE SUNDANCE CHILDCARE CENTRE,DAY CARE PROGRAM,12F37FB3356C8AF570CCF3F80F393E66,80,Day Care,CALGARY,352 SUNVALE DRIVE SE,T2X2P1,Province of Alberta
3,CAMPUS CORNER CHILDREN'S CENTRE,DAY CARE PROGRAM,1A62C1811F48EE2436207D4DD489D84D,50,Day Care,LLOYDMINSTER,2602 59TH AVE,T9V3N7,Province of Alberta
4,TINY TOTS DAY CARE,DAY CARE PROGRAM,1B9959474911059B4575984F8C210C87,22,Day Care,EDMONTON,7246B 101 AVENUE,T6A0J1,Province of Alberta
5,BRIGHT ADVENTURES DAYCARE LTD.,DAY CARE PROGRAM,1E147953612479EE3FA8D4ACB88D9B0A,63,Day Care,CALGARY,"#14, 30 COUNTRY HILLS LANDING NW",T3K5P4,Province of Alberta
6,SONSHINE DAYCARE,DAY CARE PROGRAM,2504C108CBA3E966618BF4475C4AB007,44,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
7,BRIGHT ADVENTURES DAYCARE LTD.,OUT OF SCHOOL CARE PROGRAM,3023E9903372FE431C497DC7989C412F,16,Day Care,CALGARY,"#14, 30 COUNTRY HILLS LANDING NW",T3K5P4,Province of Alberta
8,SANDSTONE CHILD LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,337910A5A81B4C514AF59DFC354A2BE3,22,Day Care,CALGARY,3 SANDSTONE DR. NW,T3K2X2,Province of Alberta
9,CANMORE COMMUNITY DAY CARE,DAY CARE PROGRAM,3BBA54FA4FF5E27C66C6745850643C6A,90,Day Care,CANMORE,606B - 7 AVE,T1W2H5,Province of Alberta
11,ELLWOOD DAYCARE,DAY CARE PROGRAM,4637EF981D8281D25C8EA0E8C58D58AA,98,Day Care,EDMONTON,204 91 ST SW,T6X1W8,Province of Alberta
12,TINY TOTS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,497520652B7B6E3F2100E702388FD306,30,Day Care,EDMONTON,7246B 101 AVENUE,T6A0J1,Province of Alberta
13,SONSHINE PRESCHOOL,PRE-SCHOOL PROGRAM,4AF0DACD5684302E1EE5AB9AB1C61B9F,19,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
14,CHOICE DAYCARE,DAY CARE PROGRAM,4B21B28328818E19428A49CAC888B7FA,68,Day Care,EDMONTON,5247 55 AVENUE,T6B3V1,Province of Alberta
15,KALYNA KIDS PLAYSCHOOL,PRE-SCHOOL PROGRAM,4DCA67D33014EECD26254084E8F65982,54,Day Care,EDMONTON,11310 51 AVENUE,T6H0L7,Province of Alberta
16,EDMONTON GARRISON MILITARY FAMILY RESOURCE CENTRE DAYCARE,DAY CARE PROGRAM,585EAAD77D78ECFB0DA1B79D94971A74,80,Day Care,LANCASTER PARK,BLDG 161 MONS AVE/HWY 28A,T0A2H0,Province of Alberta
19,LITTLE FEET BIG STEPS DAYCARE,DAY CARE PROGRAM,5B728044DF3D5368EC59A6B5A6ED4530,62,Day Care,FORT SASKATCHEWAN,"117/119, 121 TOWN CREST ROAD",T8L0G7,Province of Alberta
20,LANCASTER PARK PLAYSCHOOL,PRE-SCHOOL PROGRAM,6EBEE624D463DA91C879415D5F9ADCE8,24,Day Care,LANCASTER PARK,BLDG 161 MONS AVE/HWY 28,T0A2H0,Province of Alberta
21,ISHINE CHILDCARE,DAY CARE PROGRAM,74404876E3E538F5A13CEE88434FA18F,28,Day Care,CALGARY,211 - 47 STREET SE,T2A1N9,Province of Alberta
22,MUNCHKIN ACADEMY INC.,PRE-SCHOOL PROGRAM,76C5AEFD544A8931AE56DE34DCF036ED,30,Day Care,AIRDRIE,"#316, 401 COOPERS BLVD. SW",T4B4J3,Province of Alberta
23,SANDSTONE CHILD LEARNING CENTRE,DAY CARE PROGRAM,78E7D3098729BA0FF1E33B6F2377D8F9,58,Day Care,CALGARY,3 SANDSTONE DR. NW,T3K2X2,Province of Alberta
24,LITTLE FEET BIG STEPS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,791FF20ABE9E080760E69D5033198D86,14,Day Care,FORT SASKATCHEWAN,"117/119, 121 TOWN CREST ROAD",T8L0G7,Province of Alberta
25,CANMORE PRESCHOOL,PRE-SCHOOL PROGRAM,7944561F921BB4DD2F5D408012D2B694,40,Day Care,CANMORE,606A - 7 AVENUE,T1W2H5,Province of Alberta
26,KREATIVE KIDZ OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,7993D782B9AF8002DA135A757F9C4CFA,15,Day Care,SHERWOOD PARK,37/67 SIOUX ROAD,T8A4C7,Province of Alberta
27,INNISFAIL SCHOOL AGE PROGRAM,OUT OF SCHOOL CARE PROGRAM,8A5072308F2ADA8FB0A7A41020013A4E,77,Day Care,INNISFAIL,"5152, 5160 AND 5156 - 42 STREET",T4G1E9,Province of Alberta
28,CAMPUS CORNER CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,9230321CAFA73B4C9854CBD4F33B0D48,10,Day Care,LLOYDMINSTER,2602 59 AVE,T9V3N7,Province of Alberta
29,SONSHINE CHILDREN'S CENTRE,DAY CARE PROGRAM,94873BC8883E935F90840161BD802225,28,Day Care,CALGARY,NO ADDRESS,,Province of Alberta
30,SONSHINE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,98DD277CCF0A309F5ED2BAF738803290,19,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
31,YMCA ELLWOOD CHILD CARE,DAY CARE PROGRAM,99ADD86C45236E71A0278A1BE6C1C04C,47,Day Care,EDMONTON,2503 ELLWOOD DRIVE,T6X0P7,Province of Alberta
32,CREATIVE CRAYONS PRESCHOOL,PRE-SCHOOL PROGRAM,9DE7CDF3FA9FF5F013D65FD72E0EBABF,22,Day Care,CAMROSE,6406 44B AVE,T4V2M7,Province of Alberta
33,THE WILLOWTREE CHILDREN'S CENTER,DAY CARE PROGRAM,A0B1D282FB07C858DBB182FF659C650B,33,Day Care,HUGHENDEN,#9 MCKENZIE AVENUE,T0B2E0,Province of Alberta
36,DISCOVERIES PLAYSCHOOL,PRE-SCHOOL PROGRAM,A4DD02FC3F4D260391B7437C2EAF19E8,24,Day Care,INNISFAIL,4904 - 48 STREET,T4G1N1,Province of Alberta
37,BRIGHTPATH HIGHLAND PARK,DAY CARE PROGRAM,BB7FBEBB3645EBA59A6BFD36490F9FEB,75,Day Care,CALGARY,4311 - 1A STREET NW,T2K0X8,Province of Alberta
38,BRIGHTPATH BERMUDA,DAY CARE PROGRAM,BDD73EBCB147B727F2ADA126E11B1095,88,Day Care,CALGARY,3 BERMUDA ROAD NW,T3K1G5,Province of Alberta
39,GREENFIELD (BELGRAVIA) SCHOOL AGE PROGRAM,OUT OF SCHOOL CARE PROGRAM,BF143BC7D111C5292649C48356F2ED8C,47,Day Care,EDMONTON,7302 118 STREET,T6G1S4,Province of Alberta
40,KALYNA KIDS OSC,OUT OF SCHOOL CARE PROGRAM,C24A710AE4D8D2595D2FC700A528935B,50,Day Care,EDMONTON,11310 51 AVE NW,T6H0L7,Province of Alberta
41,CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (CEPP),OUT OF SCHOOL CARE PROGRAM,CC0FDB64BE789778F859C4F32DF0C210,38,Day Care,EDMONTON,8505 68A STREET,T6B0J9,Province of Alberta
42,FLAGSTAFF FAMILY DAY HOME PROGRAM SOCIETY,FAMILY DAY HOME,D0912B4CF6B398AD878F98F0D4E37399,50,Home,KILLAM,4809-49TH AVENUE,T0B2L0,Province of Alberta
46,BEISEKER PLAYSCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,DA115151F6A6F8432E6D642F7B2952D8,18,Day Care,BEISEKER,401 - 5 STREET,T0M0G0,Province of Alberta
47,CALGARY KIDS MONTESSORI ACADEMY LTD.,DAY CARE PROGRAM,E36E126DF19E77C50A550189DF2BB0C1,74,Day Care,CALGARY,"#110, 9937 FAIRMOUNT DRIVE SE",T2J0S2,Province of Alberta
48,THE WILLOWTREE CHILDREN'S CENTER,OUT OF SCHOOL CARE PROGRAM,E79A53216213E699786F6F6CF14520F1,24,Day Care,HUGHENDEN,#9 MCKENZIE AVENUE,T0B2E0,Province of Alberta
50,KREATIVE KIDZ CHILDCARE,DAY CARE PROGRAM,E899887CD0FEDC47A0218C471C9833F4,75,Day Care,SHERWOOD PARK,37/67 SIOUX ROAD,T8A4C7,Province of Alberta
51,CLARESHOLM CHILD CARE SOCIETY,DAY CARE PROGRAM,0EA2051854AE6966CB28036EF61F2E2C,47,Day Care,CLARESHOLM,221 - 45 AVENUE WEST,T0L0T0,Province of Alberta
52,CALGARY INTERNATIONAL ACADEMY PRESCHOOL,PRE-SCHOOL PROGRAM,0FE4C8AF58A9275B78786422F4BEF524,24,Day Care,CALGARY,450 ROYAL OAK DRIVE NW,T3G5J7,Province of Alberta
57,TOTS 2 KIDS BEFORE & AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,1073D01BF440F15362D68990AEC3EC71,15,Day Care,EDMONTON,14804 78 STREET,T5C1H9,Province of Alberta
58,NOTRE DAME PRESCHOOL,PRE-SCHOOL PROGRAM,159F630BBF994FFFDB8227A4EE464AB3,18,Day Care,LEDUC,66 SOUTH PARK DRIVE,T9E7J1,Province of Alberta
59,EDMONTON AFTER SCHOOL CARE - MEADOWLARK,OUT OF SCHOOL CARE PROGRAM,2002B7F4DB2019CF30A8717F72FFADCA,48,Day Care,EDMONTON,9150 160 STREET,T5R2J2,Province of Alberta
60,LANSDOWNE CHILD CARE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,25C8E687BA20FA4387A71D27B3193B47,50,Day Care,EDMONTON,12323 51 AVENUE,T6H0M6,Province of Alberta
61,CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (PERE LACOMBE),OUT OF SCHOOL CARE PROGRAM,2676BB749BCF598AAF1EC08223EED921,27,Day Care,EDMONTON,10715 131A AVENUE,T5E0X4,Province of Alberta
62,EDMONTON MENNONITE CENTRE FOR NEWCOMERS-EASTWOOD SITE,INNOVATIVE CHILD CARE PROGRAM,31818E68A35ABD1C08D7A9C5B22EEB89,35,Day Care,EDMONTON,12023 81 STREET,T5B2S9,Province of Alberta
63,CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE LA BELLE NATURE,DAY CARE PROGRAM,34B7D987D0353C3053E470FA2EAAABF0,43,Day Care,ST. ALBERT,23 AKINS DRIVE,T8N3B3,Province of Alberta
64,STRATHCONA NURSERY SCHOOL,PRE-SCHOOL PROGRAM,381AD850DE021EB4B2D7DB123AB3639C,20,Day Care,EDMONTON,8530 - 101 STREET,T6E3Z5,Province of Alberta
65,WEE WILD ONES,OUT OF SCHOOL CARE PROGRAM,3C6F4328BF97AD64FA9AAC2F8AD01CF6,45,Day Care,CALGARY,10 - 11A ST. NE,T2E4Z3,Province of Alberta
66,DICKINSFIELD CHILD DEVELOPMENT CENTER,DAY CARE PROGRAM,3CFDDBF1182187365085CE1B2C370947,45,Day Care,EDMONTON,20 9228 144 AVE,T5E6A3,Province of Alberta
67,WEE WILD ONES,DAY CARE PROGRAM,3E6569F8242A29C50DA27DF2DDC0D453,120,Day Care,CALGARY,10 - 11A ST. NE,T2E4Z3,Province of Alberta
68,ESG CHILD PLAYCARE CENTER,DAY CARE PROGRAM,3FB5D4131926E26FA190CB952AAAE21D,100,Day Care,CALGARY,111 COVEPARK SQUARE NE,T3K5W9,Province of Alberta
69,MUIR LAKE PLAYSCHOOL,PRE-SCHOOL PROGRAM,4484BD6BB35C3BB9410DF1729A8CD1A5,20,Day Care,COUNTY OF PARKLAND,53424 HWY 779,T7Z1A3,Province of Alberta
70,FIRST STEPS & BEYOND OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,4B4E51452622A2101D5193E6015F8A63,20,Day Care,RED DEER,4910 59 STREET,T4N2N1,Province of Alberta
71,FIRST STEPS & BEYOND PRESCHOOL,PRE-SCHOOL PROGRAM,4FBE96533CF326F5F85510B3EB5AA60F,38,Day Care,RED DEER,4910 59 STREET,T4N2N1,Province of Alberta
72,FUTURE SCHOLARS DAYCARE,DAY CARE PROGRAM,58E3D9B8C6242C801F3326C461316719,58,Day Care,EDMONTON,8030 118 AVENUE,T5B0R8,Province of Alberta
73,LANSDOWNE CHILD CARE AND FAMILY CENTRE,DAY CARE PROGRAM,59C5CF0F8DF310465073467951C77015,80,Day Care,EDMONTON,12323 51 AVENUE,T6H0M6,Province of Alberta
74,CLEVER DAYCARE LTD.,DAY CARE PROGRAM,65289B2E15AA8578D2D59EA06FD61E22,147,Day Care,CALGARY,3131 - 45 AVE SW,T3E8A7,Province of Alberta
75,PEEKABOO CHILD CARE CENTRE BEVERLY,DAY CARE PROGRAM,696933E05CBBEE8FB984C2C11C22C412,44,Day Care,EDMONTON,11809 48 STREET,T5W2Y4,Province of Alberta
78,NOTRE DAME OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,6E8AB9B6C2ECB66A9E847E93FE5C7154,60,Day Care,LEDUC,66 SOUTH PARK DR.,T9E7J1,Province of Alberta
79,VEGREVILLE COMMUNITY DAYCARE SOCIETY,DAY CARE PROGRAM,8A38497D3D20A83E7201B06A9C0B9EAB,49,Day Care,VEGREVILLE,5241 - 43 STREET,T9C1R5,Province of Alberta
80,PEEKABOO OUT OF SCHOOL BEVERLY,OUT OF SCHOOL CARE PROGRAM,9766EE3A59E774C90BF51AB9786D4D87,16,Day Care,EDMONTON,11809 48 STREET,T5W2Y4,Province of Alberta
81,LITTLE ARK ACADEMY PRESCHOOL,PRE-SCHOOL PROGRAM,9AEACF320B60F1FBE61A4703B655D9D6,18,Day Care,GRANDE PRAIRIE,10315-114 AVE.,T8V1X2,Province of Alberta
82,FIRST STEPS & BEYOND DAYCARE,DAY CARE PROGRAM,A1C63C7B934341075A9DA461299A070C,38,Day Care,RED DEER,4910 59 STREET,T4N2N1,Province of Alberta
83,DRAYTON VALLEY EARLY CHILDHOOD DEVELOPMENT CENTRE,DAY CARE PROGRAM,A32E8EA795938B542FF99254825184F2,88,Day Care,DRAYTON VALLEY,5024 48TH ST,T7A1E1,Province of Alberta
84,AERIALS GYMNASTICS PLAYSCHOOL,PRE-SCHOOL PROGRAM,A663C39418D3A27FDC6616F4B3098326,22,Day Care,SPRUCE GROVE,9 TRI LEISURE WAY,T7X0T3,Province of Alberta
85,FUTURE SCHOLARS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,A74C6F49945C2E763DE7785CB933EBC5,19,Day Care,EDMONTON,8030 118 AVENUE,T5B0R8,Province of Alberta
86,DICKINSFIELD OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,A825C5087FF083CD54BD63931B0001BE,16,Day Care,EDMONTON,#20 9228 144 AVENUE,T5E6A9,Province of Alberta
87,ESG CHILD PLAYCARE CENTER,OUT OF SCHOOL CARE PROGRAM,D6BE95D30CC7F62D19618006E933AE1F,74,Day Care,CALGARY,111 COVEPARK SQUARE NE,T3K5W9,Province of Alberta
88,FABLE CHILD CARE CENTER,DAY CARE PROGRAM,F3748F1D3F72CA4259FD4807DA1FEBBD,83,Day Care,MORINVILLE,10010 101 AVE,T8R1R1,Province of Alberta
95,BRIGHT STARS PRESCHOOL,PRE-SCHOOL PROGRAM,0971E5958AEF84C8EACC2FA04C4EE378,24,Day Care,CALGARY,6 COPPERSTONE WAY SE,T2Z0E7,Province of Alberta
96,ST. ALBERT CREATIVE PRESCHOOL,PRE-SCHOOL PROGRAM,10386017CEC01620A32978F19E36D5BD,22,Day Care,STURGEON COUNTY,25230 TWP RD 542,T8T1L8,Province of Alberta
97,MARIA MONTESSORI STEPPING STONES AFTER SCHOOL CARE-82 STREET,OUT OF SCHOOL CARE PROGRAM,156B8CFE40FCF05FFB1F5F8B93032D02,30,Day Care,EDMONTON,11730 82 STREET,T5B2W1,Province of Alberta
99,BEFORE AND AFTER SCHOOL CARE SUNG LEE TAEKWONDO,OUT OF SCHOOL CARE PROGRAM,1D7D60C87CDD9A1CE3A29C39E78A639F,54,Day Care,EDMONTON,"2000, 9499 137 AVE",T5E5R8,Province of Alberta
100,SKAZKA SOUTH DAYCARE,DAY CARE PROGRAM,2A87C12009A5E2D9375867B8C9162F9C,20,Day Care,EDMONTON,10715 40 AVE,T6J2G1,Province of Alberta
101,BUILDING BLOCKS DAYCARE CENTRE,DAY CARE PROGRAM,368A88E6FF7F1EF3871C88DBD63213F4,110,Day Care,GRANDE PRAIRIE,10625 104 AVENUE,T8V4C4,Province of Alberta
103,BRIGHT HORIZONS OSC ADA BLVD,OUT OF SCHOOL CARE PROGRAM,40CB44CB38355D74F5BD6A5AC247FEE5,31,Day Care,EDMONTON,7100 ADA BLVD,T5B4E4,Province of Alberta
105,MINI FRIENDS DAYCARE 2,DAY CARE PROGRAM,48F842DD07805A77659CEADE31B2070A,61,Day Care,EDMONTON,12950/52 82 STREET,T5E2T2,Province of Alberta
107,HAWKWOOD CHILDCARE CENTRE LIMITED,OUT OF SCHOOL CARE PROGRAM,4A93580F1D039DD49AD39A5D76B2FF24,36,Day Care,CALGARY,"UNIT 23A, 555 HAWKWOOD BLVD. NW",T3G3K2,Province of Alberta
108,APPLE CHILDCARE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,5F4E47A1836B3B218DE0073E3C23B422,32,Day Care,EDMONTON,UNIT 102 6120 SCHONSEE WAY NW,T5Z0K4,Province of Alberta
109,HAWKWOOD CHILDCARE CENTRE LIMITED,DAY CARE PROGRAM,6117EC7D7AABDAFF7674A63BD8E7EC6F,30,Day Care,CALGARY,"UNIT #23A, 555 HAWKWOOD BLVD. N.W.",T3G3K2,Province of Alberta
110,DAVAR CHILD CARE SOCIETY-BOW VALLEY FAMILY CHILD CARE,FAMILY DAY HOME,61AEF6FC77768210998D563B96619ACC,130,Home,CANMORE,301 125E DYRGAF LANE,T1W0A9,Province of Alberta
111,MARIA MONTESSORI STEPPING STONES CHILD DEVELOPMENT CENTRE-82 STREET,DAY CARE PROGRAM,70B6BA5B9A2633930A35CFD9D9CF3904,60,Day Care,EDMONTON,11730 82 STREET,T5B2W1,Province of Alberta
112,MINI FRIENDS AFTERSCHOOL CARE 2,OUT OF SCHOOL CARE PROGRAM,70BF0643C834C6E2DEE8C105A033A345,15,Day Care,EDMONTON,12950/52 82 STREET,T5E2T2,Province of Alberta
113,LA PRE-MATERNELLE LA COCCINELLE,PRE-SCHOOL PROGRAM,8E7AB7F517F7CD9D615CC1A07CC31547,18,Day Care,CALGARY,3303 CAPITOL HILL CRES. NW,T2M2R2,Province of Alberta
114,KIDS CONNECTION DAYCARE,DAY CARE PROGRAM,9255E6EC4916261C5C16B09475A2B4F4,86,Day Care,HIGH RIVER,"BAY A, 111 MACLEOD TRAIL SW",T1V1M9,Province of Alberta
115,BRIGHTPATH LEDUC OSC,OUT OF SCHOOL CARE PROGRAM,AAF14F30B895D666D875F2B852B2E820,27,Day Care,LEDUC,5010 48A STREET,T9E6Y1,Province of Alberta
116,BRIGHT HORIZONS CHILDCARE ADA BLVD,DAY CARE PROGRAM,B84C9155D90B0AAF62E29E48C3030179,112,Day Care,EDMONTON,7100 ADA BLVD,T5B4E4,Province of Alberta
117,MINI FRIENDS AFTERSCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,BD14BB842FE20BDC8428A8FB42377D59,24,Day Care,EDMONTON,14510 118 STREET,T5X1T3,Province of Alberta
118,ST. BENEDICT BEFORE AND AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,C106F291800425D27058165C1D8B28A6,60,Day Care,LEDUC,75 ALTON DRIVE,T9E7K1,Province of Alberta
119,CHILDREN'S CHOICE COMMUNITY CHILD CARE SERVICES,FAMILY DAY HOME,C3846800B2FD79EE4B5120FE42E74474,360,Home,CALGARY,52 DOVERCREST WAY SE,T2B2L9,Province of Alberta
121,KNOWLEDGE TREE EARLY LEARNING & CHILDCARE CENTRE,DAY CARE PROGRAM,CC3C58B4092FDDDC02A18DE839EA55CD,38,Day Care,VALLEYVIEW,4301-51 AVENUE,T0H3N0,Province of Alberta
122,BRIGHTPATH LEDUC,DAY CARE PROGRAM,CEB9833B123D8EDE87D5D8C5D0EF2BF9,77,Day Care,LEDUC,5010 48A STREET,T9E6Y1,Province of Alberta
123,MINI FRIENDS DAYCARE,DAY CARE PROGRAM,D3B35F51ECEBD1FF6D151E6CDA240743,57,Day Care,EDMONTON,14510 118 STREET,T5X1T3,Province of Alberta
124,AGAPELAND PRESCHOOL,PRE-SCHOOL PROGRAM,E96BD5F294D791CD92DD8FA6D40F7F55,20,Day Care,CALGARY,20200 WALDEN BLVD. SE,T2X0N4,Province of Alberta
125,APPLE CHILDCARE CENTRE,DAY CARE PROGRAM,F53E17BFDEBB2D6222EB2015DC4B56E7,56,Day Care,EDMONTON,UNIT 102 6120 SCHONSEE WAY NW,T5Z0K4,Province of Alberta
126,KIDS U NEW BRIGHTON,DAY CARE PROGRAM,F8FFED71701F523401A4D5F13174DBE8,138,Day Care,CALGARY,1035 NEW BRIGHTON DRIVE SE,T2Z5E6,Province of Alberta
127,REDCLIFF TINY TOT PLAY ROOM PARENT ASSOCIATION,DAY CARE PROGRAM,00FE2299F86ED0C5AF853E89D507F8E7,47,Day Care,REDCLIFF,115 BROADWAY AVE W,T0J2P0,Province of Alberta
132,FOOTSTEPS PRESCHOOL,PRE-SCHOOL PROGRAM,0285BD94CB571C50CE9163BA3BE358FF,21,Day Care,COCHRANE,"SANDSTONE RM., 101 RANCHEHOUSE ROAD",T4C2K8,Province of Alberta
133,SHAREBEAR PLAYSCHOOL,PRE-SCHOOL PROGRAM,0F474A83A680FCAA76041A5867CFCF9E,60,Day Care,STETTLER,4720 52 STREET,T0C2L1,Province of Alberta
134,COUNTY PLACE EARLY LEARNING & CARE CENTRE-DAY CARE,DAY CARE PROGRAM,1B50C7CCBB926C162300EA814BF4FF49,76,Day Care,SHERWOOD PARK,922 ASH STREET,T8A2G1,Province of Alberta
135,MONTESSORI CHILDREN'S HOUSE ACADEMY LTD. #2,DAY CARE PROGRAM,2199D212B0025E07FD486090FCD4D014,77,Day Care,CALGARY,106 - 20 SUNPARK PLAZA SE,T2X3T2,Province of Alberta
136,QUARRY PARK CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,276432F24706B84452A7176D8A60A0C0,348,Day Care,CALGARY,10702 18 STREET SE,T2C5R1,Province of Alberta
139,CHILD'S PLAY OUT OF SCHOOL CARE @ FIRESIDE,OUT OF SCHOOL CARE PROGRAM,29A4220D8E81BF66FFA62371FCC3423C,30,Day Care,COCHRANE,12 FIRESIDE PKWY,T4C2A3,Province of Alberta
140,CLOWN AROUN' BEFORE AND AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,2EF4E56EFAE983B37A9E8FB1A69B2947,50,Day Care,CALGARY,2409 - 50 ST. NE,T1Y1Z5,Province of Alberta
141,BRIGHTPATH MILLRISE,OUT OF SCHOOL CARE PROGRAM,34D05D61DEA57AD97CDED77907C2742B,29,Day Care,CALGARY,3 MILLSIDE DRIVE SW,T2Y2P1,Province of Alberta
142,PARKLAND VILLAGE BEFORE AND AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,422FCA91D575FCC3AC7CD53ED91412AE,45,Day Care,SPRUCE GROVE,28 53222 RGE RD 272,T7X3X6,Province of Alberta
143,CARE LINC CHILDMINDING,INNOVATIVE CHILD CARE PROGRAM,46F47E0592AD3A072F3F081D26256455,25,Day Care,RED DEER,"202, 5000 GAETZ AVENUE",T4N6C2,Province of Alberta
144,YMCA STRATFORD OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,489E5DE0021E644741064627B2ECF37F,56,Day Care,EDMONTON,8715 153 STREET,T5R1P1,Province of Alberta
146,VALHALLA PLAYSCHOOL,PRE-SCHOOL PROGRAM,4C09915DC0728C98507B3A7C051D76FF,12,Day Care,VALHALLA CENTRE,VALHALLA SCHOOL,T0H3M0,Province of Alberta
148,COUNTY PLACE EARLY LEARNING & CARE CENTRE-OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,5AC20BDFE9D9FAFF6CEAEA805D85D7BE,35,Day Care,SHERWOOD PARK,922 ASH STREET,T8A2G1,Province of Alberta
149,YMCA ST. CATHERINE CHILD CARE,OUT OF SCHOOL CARE PROGRAM,67AB850B29C98AD685D9541D9C2A7085,48,Day Care,GRANDE PRAIRIE,12815 104A STREET,T8V6J5,Province of Alberta
150,PAINTED WOMBAT FINE ARTS PRESCHOOL,PRE-SCHOOL PROGRAM,6C3D0113168642C1F30C8B851BCC9A7F,24,Day Care,CALGARY,8831 FAIRMOUNT DRIVE SE,T2H0Z4,Province of Alberta
151,ANNETTE'S PRESCHOOL,PRE-SCHOOL PROGRAM,87DD1C20ECEF276C7C41A49AD09C3AA9,24,Day Care,SHERWOOD PARK,ST. THOMAS ANGLICAN CHURCH,T8A0C3,Province of Alberta
153,CHILDREN'S PLACE CHILD CARE CENTRE - OKOTOKS,OUT OF SCHOOL CARE PROGRAM,A1DA3ADA4933B64CD1F0F15F5438ABDF,25,Day Care,OKOTOKS,102 ELIZABETH STREET,T1S1A8,Province of Alberta
157,BRENTWOOD CHILDCARE CENTER,DAY CARE PROGRAM,A68C0C5327CDE90CADF4A85E54397302,84,Day Care,CALGARY,UNIT 130- 3830 BRENTWOOD RD NW,T2L2J9,Province of Alberta
158,RAINBOW PLAYSCHOOL,PRE-SCHOOL PROGRAM,C3ABF9C5165962AB724B387126C7A5AD,25,Day Care,SPRUCE GROVE,SW 7-51-26-4 GRAMINIA HALL,T7Y1G2,Province of Alberta
159,CHILDREN'S AUTISM SERVICES OF EDMONTON PRESCHOOL,PRE-SCHOOL PROGRAM,C865FE1599A237B09E864D4147BF9C72,33,Day Care,EDMONTON,17451 103 AVE,T5S1J4,Province of Alberta
160,KIDZINC SCHOOL AGE CARE - OLYMPIC HEIGHTS,OUT OF SCHOOL CARE PROGRAM,D67C297255E77D87D9FACBE283557F11,60,Day Care,CALGARY,875 STRATHCONA DRIVE SW,T3H2Z7,Province of Alberta
161,CHILDREN'S AUTISM SERVICES OF EDMONTON CHILDCARE PROGRAM,DAY CARE PROGRAM,D6B140FFBD6C7470AC81E83114C46E15,16,Day Care,EDMONTON,17451 103 AVE,T5S1J4,Province of Alberta
162,BRIGHTPATH MILLRISE,DAY CARE PROGRAM,DE45190049DDA13E38289194EB2CB4C0,71,Day Care,CALGARY,3 MILLSIDE DR SW,T2Y2P1,Province of Alberta
163,CHILDREN'S PLACE CHILD CARE CENTRE - OKOTOKS,DAY CARE PROGRAM,EFDEF5DFAEAB48BE18B9D075C430CC1F,24,Day Care,OKOTOKS,102 ELIZABETH STREET,T1S1A8,Province of Alberta
166,SCHOOL'S OUT KIDS' OPTION INC (S.O.K.O. INC),OUT OF SCHOOL CARE PROGRAM,F21CB010F96492439F8D92F4658660C9,56,Day Care,CALGARY,5720 SILVER RIDGE DRIVE NW,T3B5E5,Province of Alberta
