,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
768,CALGARY EARLY LEARNING CENTRE,DAY CARE PROGRAM,B6D6DEB86F9D1EEC57DEAC97D87D1F38,26,Day Care,CALGARY,140 HADDON ROAD SW,T2V2Y3,Province of Alberta
770,PENHOLD SCHOOL AGED CARE PROGRAM,OUT OF SCHOOL CARE PROGRAM,B996328BBA86C854C45D53A256C1CB9B,35,Day Care,PENHOLD,105B NEWTON DRIVE,T0M1R0,Province of Alberta
774,MOUNT IMAGINATION CHILD CARE CENTRE,DAY CARE PROGRAM,C1D30DDCE8D437F8F4902A947CFF638C,20,Day Care,SUNDRE,104 3RD STREET NW,T0M1X0,Province of Alberta
776,RANCHLANDS CHILDREN COME FIRST ASSOCIATION,PRE-SCHOOL PROGRAM,C5603F4019C36E4E3014B8DC2621E23E,35,Day Care,CALGARY,7713 RANCHVIEW DRIVE NW,T3G2B3,Province of Alberta
779,NAMAO PRESCHOOL SOCIETY,PRE-SCHOOL PROGRAM,D6211BBD44655317BA0C5FEF26219AF5,15,Day Care,STURGEON COUNTY,8 24400 HWY 37,T8T0E9,Province of Alberta
780,MCLEOD DAY CARE,DAY CARE PROGRAM,D63694C0EBFD1367DB7E9174E52B84C1,40,Day Care,EDMONTON,5914 153 AVE,T5Y2W1,Province of Alberta
781,FLAGSTAFF KIDS CONNECTION DAYCARE,DAY CARE PROGRAM,D7EC41972C1D808FE0F58A54DBFA238D,31,Day Care,KILLAM,5006 47 STREET,T0B2L0,Province of Alberta
784,FUN WITH FRENCH PRESCHOOL,PRE-SCHOOL PROGRAM,D9128A4FABD15ABF7974AB1F7D5272A4,20,Day Care,FORT SASKATCHEWAN,9607 SHERRIDON DRIVE,T8L1L7,Province of Alberta
785,INSPIRATION STATION PRESCHOOL - WEST,PRE-SCHOOL PROGRAM,E01ECCFC8974C4D8EF323C7469FE5D51,40,Day Care,AIRDRIE,1101 - 403 MACKENZIE WAY SW,T4B3V7,Province of Alberta
786,JUVENESCENCE - OUR LADY OF THE ROSARY,OUT OF SCHOOL CARE PROGRAM,F23B4131357506FB00CC07E84349877C,34,Day Care,CALGARY,41 CRANSTON GATE SE,T3M0J1,Province of Alberta
787,BROOKS DYNAMITE ACADEMY,DAY CARE PROGRAM,F48A0240FA546A2A46AE5E250A001E11,65,Day Care,BROOKS,611 2 AVENUE E,T1R1B2,Province of Alberta
788,ENLIGHTENED BEGINNINGS,DAY CARE PROGRAM,F64AD66BB4B3196A65B49E899F1D1BE2,70,Day Care,GRIMSHAW,5007 47 AVENUE,T0H1W0,Province of Alberta
789,STAVELY PLAYSCHOOL,PRE-SCHOOL PROGRAM,F76907E20027D30CA577F7CE43DB750E,22,Day Care,STAVELY,5031 - 48 AVE,T0L1Z0,Province of Alberta
790,THE MOSAIC PRE-SCHOOL PROGRAM,PRE-SCHOOL PROGRAM,031B0F2F8511B3522FC92E31EF064D73,18,Day Care,CALGARY,"520, 910 - 7 AVENUE SW",T2P3N8,Province of Alberta
