,name,source_facility_type,source_id,capacity,ages,infant,toddler,school_age,facility_type,full_address,provider
902,Winnipeg Military Family Resource Centre Inc.,Centre,9182,127,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Building 125 630 Wihuri Road Winnipeg, MB",Province of Manitoba
904,Family or Group Child Care Home *,Home,102036,6,Infant,Y,N,N,Home,None,Province of Manitoba
906,Family or Group Child Care Home *,Home,101075,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
908,Michelle Cartier,Home,100892,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"18 Grimston Road Winnipeg, MB",Province of Manitoba
910,Family or Group Child Care Home *,Home,102168,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
912,Michelle Lodon,Home,100177,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
914,Michelle Normandeau,Home,9696,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
915,Mighty Minds Montessori,Centre,102556,54,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Unit 8 - 2835 Pembina Highway Winnipeg, MB",Province of Manitoba
916,Milagros Estandarte Gatpayat,Home,101345,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"15 Fallbrook Bay Winnipeg, MB",Province of Manitoba
918,Kiddie Kampus Inc.,Centre,9597,116,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 2,5,6,7 870 Scotland Avenue (Ave) Winnipeg, MB",Province of Manitoba
920,Family or Group Child Care Home *,Home,102373,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
922,Family or Group Child Care Home *,Home,102194,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
923,Family or Group Child Care Home *,Home,102098,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
925,Family or Group Child Care Home *,Home,101026,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
926,Family or Group Child Care Home *,Home,100559,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
928,Morrow Avenue Child Care,Centre,101497,47,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"51 Morrow Avenue (Ave) Winnipeg, MB",Province of Manitoba
930,Morrow Avenue Day Care Inc.,Centre,3134,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 6 & 7 505 St. Anne's Road Winnipeg, MB",Province of Manitoba
931,Morrow Avenue Day Care Inc,Centre,100259,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 10, 11, 16 121 Hazelwood Crescent Winnipeg, MB",Province of Manitoba
933,Morrow Avenue Day Care Inc.,Centre,100260,34,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 4, 10, 13, Library, Gym 800 Archibald Street Winnipeg, MB",Province of Manitoba
935,Morrow Avenue Day Care Inc.,Centre,100530,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"533 St. Anne's Road Winnipeg, MB",Province of Manitoba
936,Morrow Avenue Day Care Inc.,Centre,9307,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"#15, Resource room, Art room 51 Blenheim Street Winnipeg, MB",Province of Manitoba
938,Morrow Avenue Day Care Inc.,Centre,1290,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1 and 2, gym 50 Hastings Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
939,Morrow Avenue Day Care Inc.,Centre,3133,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1, 3 and Multi-purpose room, gym 95 Pulberry Street Winnipeg, MB",Province of Manitoba
940,Morrow Avenue Day Care Inc.,Centre,9096,62,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"gym, 2,3,13 485 Meadowood Drive Winnipeg, MB",Province of Manitoba
941,Munroe Early Childhood Education Centre Inc.,Centre,100404,33,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Stage/Family Resource/Rm 18 & 21/Kinder 491 Munroe Avenue (Ave) Winnipeg, MB",Province of Manitoba
942,Munroe Early Childhood Education Centre Inc. - School Age - George V,Centre,9743,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 105, Gym, Large Gym, Library 255 Grey Street Winnipeg, MB",Province of Manitoba
943,Munroe Early Childhood Education Centre Inc. - School Age,Centre,9027,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"RMs 6, 8/Gym/ Multipurpose 361 Kent Road Winnipeg, MB",Province of Manitoba
944,Munroe Early Childhood Education Centre Inc.,Centre,1064,108,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 120, 127, 128, 129, library 186 - 505 Chalmers Avenue (Ave) Wpg, MB",Province of Manitoba
945,Family or Group Child Care Home *,Home,9018,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
946,Family or Group Child Care Home *,Home,101058,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
947,Nancy Klann,Home,102286,8,"Infant, School Age",Y,N,Y,Home,None,Province of Manitoba
948,Family or Group Child Care Home *,Home,101989,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
949,Family or Group Child Care Home *,Home,100225,7,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
950,Nataliia Dzvonyk,Home,102498,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
952,Natasha Pedersen,Home,100991,6,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
953,Family or Group Child Care Home *,Home,101512,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
954,Family or Group Child Care Home *,Home,101785,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
955,Family or Group Child Care Home *,Home,101601,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
957,Niigaanaki Day Care Centre Inc.,Centre,1272,42,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"104B - 500 Balmoral Street Winnipeg, MB",Province of Manitoba
959,Family or Group Child Care Home *,Home,102244,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
960,Family or Group Child Care Home *,Home,102343,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
961,Nor'West Co-op Community Health Centre Inc.,Centre,101635,12,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"785 Keewatin Street Winnipeg, MB",Province of Manitoba
962,Nor'West Co-op Community Health Centre Inc.,Centre,1057,66,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 107,114 and 115 105 Lucas Avenue (Ave) Winnipeg, MB",Province of Manitoba
963,Family or Group Child Care Home *,Home,5478,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
964,North Kildonan Little Thinkers Inc.,Centre,100171,38,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"71-B Burnett Avenue (Ave) Winnipeg, MB",Province of Manitoba
966,Norwood Nursery School and Day Care Inc. (Nordale),Centre,101853,27,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"99 Birchdale Avenue (Ave) Winnipeg, MB",Province of Manitoba
967,Norwood Nursery School and Day Care Inc.,Centre,2025,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"87 Walmer Street Winnipeg, MB",Province of Manitoba
968,Nova Montessori Preschool Inc.,Centre,102549,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1 & 2 2050 Chevrier Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
969,Nova Montessori Preschool Inc.,Centre,101527,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 2 C - 3311 Pembina Highway Winnipeg, MB",Province of Manitoba
970,Nympha Molen-Rivard and Richard Rivard,Home,9193,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"739 Home Street Winnipeg, MB",Province of Manitoba
971,O.K. Before and After School Child Care Centres Inc.,Centre,3097,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gym, Mini Gym, Servery 25 Anglia Avenue (Ave) Winnipeg, MB",Province of Manitoba
972,O.K. Before and After School Child Care Centres Inc.,Centre,3013,45,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"30 Maberley Road Winnipeg, MB",Province of Manitoba
973,O.K. Before and After School Child Care Centres Inc.,Centre,102603,114,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Ecole Templeton Unit 1 - 1310 Templeton Avenue (Ave) Winnipeg, MB",Province of Manitoba
974,O.K. Before and After School Child Care Centres Inc.,Centre,3009,29,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1520 Jefferson Avenue (Ave) Wpg, MB",Province of Manitoba
975,O.K. Before and After School Child Care Centres Inc.,Centre,3019,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"66 Neville Street Winnipeg, MB",Province of Manitoba
976,Oak Street Nursery School Inc,Centre/Nursery,2155,33,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 212A, 214, and Gym 255 Oak Street Winnipeg, MB",Province of Manitoba
977,Family or Group Child Care Home *,Home,102259,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
978,Family or Group Child Care Home *,Home,102329,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
979,Family or Group Child Care Home *,Home,101431,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
980,On the Move Inc.,Centre,9361,25,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rm 127 & 120 Use of: 114, 124, 134 1720 John Brebeuf Place Winnipeg, MB",Province of Manitoba
981,On The Move Incorporated,Centre,1174,154,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 9,10,11,12,13,14,Gym 1777 Grant Avenue (Ave) Wpg, MB",Province of Manitoba
982,Pacific Junction Day Care Incorporated,Centre,1215,38,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"715 Cathcart Street Winnipeg, MB",Province of Manitoba
983,Pacific Junction School Age Centre Inc.,Centre,3103,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"RM 15 - 715 Cathcart Street Winnipeg, MB",Province of Manitoba
984,Family or Group Child Care Home *,Home,101052,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
985,Panda Bear Day Care Co-op Inc.,Centre,1263,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"53 Speers Road Winnipeg, MB",Province of Manitoba
986,Paradise Montessori Preschool Inc.,Centre,102027,46,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1061 Autumnwood Drive Winnipeg, MB",Province of Manitoba
987,Paradise Montessori Preschool Inc.,Centre,100048,52,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1341 Kenaston Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
988,Family or Group Child Care Home *,Home,101610,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
989,Pat McCluskey,Home,5369,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
990,Patience Oyetunji,Home,101616,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"12 Marshall Crescent Winnipeg, MB",Province of Manitoba
991,Family or Group Child Care Home *,Home,100231,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
992,Family or Group Child Care Home *,Home,102232,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
994,Peek-a-Boo Infant Child Care Inc.,Centre,9330,105,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3138 Portage Avenue (Ave) Winnipeg, MB",Province of Manitoba
996,Pinkham Day Care Inc.,Centre,9257,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"759 Ross Avenue (Ave) Winnipeg, MB",Province of Manitoba
997,Pinkham Day Care Inc.,Centre,1258,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"765 Pacific Avenue (Ave) Wpg, MB",Province of Manitoba
998,Poplar Avenue Kids Care Inc.,Centre,3094,57,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 20, 21, Music Room, Library, Gym 170 Poplar Avenue (Ave) Winnipeg, MB",Province of Manitoba
999,PCC Prairie Children's Centres Inc.,Centre,1159,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1325 Beaumont Street Winnipeg, MB",Province of Manitoba
1000,PCC Prairie Children's Centres Inc.,Centre,101378,42,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"General Byng School Room 10,11,Gym 1250 Beaumont Street Winnipeg, MB",Province of Manitoba
1001,PCC Prairie Children's Centres Inc.,Centre,100170,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"285 Pembina Highway Winnipeg, MB",Province of Manitoba
1002,Prairie Nature Children's Centre Inc.,Centre,7858,85,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 12,16,17,18, gym, music room 600 Hoka Street Wpg, MB",Province of Manitoba
1003,Family or Group Child Care Home *,Home,100256,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1004,Promila Rose,Home,102455,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1005,Provincial Employees Care For Kids Co-op Inc.,Centre,1169,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"208 Osborne Street N Wpg, MB",Province of Manitoba
1007,Provincial Employees Care For Kids Co-op Inc.,Centre,1255,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1 - 800 Portage Avenue (Ave) Wpg, MB",Province of Manitoba
1009,R.B. Russell Infant Centre,Centre,100801,47,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"102 - 269 Dufferin Avenue (Ave) Winnipeg, MB",Province of Manitoba
1010,R.H.S. Child Care Inc.,Centre,3090,101,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"255 Oak Street Winnipeg, MB",Province of Manitoba
1011,R.R.C. Early Childhood Centre Inc.,Centre,1040,53,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"A101 - 2055 Notre Dame Avenue Avenue (Ave) Winnipeg, MB",Province of Manitoba
1012,Family or Group Child Care Home *,Home,102107,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1013,Radisson School Before and After Program Inc,Centre,100624,85,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms#14,large& small multipurpose,gym 1105 Winona Street Winnipeg, MB",Province of Manitoba
1015,YMHA Jewish Community Centre of Winnipeg Inc.,Centre,101831,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1710 Grosvenor Avenue (Ave) Winnipeg, MB",Province of Manitoba
1016,YMHA Jewish Community Centre of Winnipeg Inc.,Centre,9088,113,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"School-age Program-Rm 102,104,105,237 123 Doncaster Street Winnipeg, MB",Province of Manitoba
1018,Rainbow Day Nursery Inc.,Centre,1140,86,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"10/11/12 20 Island Shore Blvd. Winnipeg, MB",Province of Manitoba
1019,Rainbow Day Nursery Inc.,Centre,9470,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"445 Island Shore Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1021,Rainbow Day Nursery Inc,Centre,100426,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"100 - 40 Lakewood Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1022,Rainbow Day Nursery Inc.,Centre,9837,72,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"180 - 50 Lakewood Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1024,Rainbow Day Nursery Inc.,Centre,102060,144,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"108-111,113-118, N.Common 315 Sage Creek Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1026,Rainbow Day Nursery Inc.,Centre,100926,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"90 115 Vermillion Road Winnipeg, MB",Province of Manitoba
1027,Rainbow Day Nursery Inc,Centre,100927,109,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"255 Vermillion Road Winnipeg, MB",Province of Manitoba
1028,Family or Group Child Care Home *,Home,102253,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1029,Family or Group Child Care Home *,Home,102565,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1030,Razor Back BLAST Inc.,Centre,3023,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Family FX, Nursery, Power Hour Office 200 McIvor Avenue (Ave) Winnipeg, MB",Province of Manitoba
1031,Family or Group Child Care Home *,Home,102191,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1033,Richmond Montessori School,Centre,101614,53,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Preschool Room, Room 1 & 3, 5, Gym 85 Keslar Road Winnipeg , MB",Province of Manitoba
1034,River Avenue Co-operative Day Nursery Inc.,Centre,1042,62,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"127 Bell Avenue (Ave) Winnipeg, MB",Province of Manitoba
1036,River Heights Child Care,Centre,102528,52,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"333 Wilton Street Winnipeg, MB",Province of Manitoba
1038,St. Amant Centre Inc.,Centre,1204,52,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"440 River Road Winnipeg, MB",Province of Manitoba
1039,St. Andrews Child Care Inc.,Centre,101408,53,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"4249 Main Street West St. Paul, MB",Province of Manitoba
1040,Riverview-Ashland Child Care Centre Inc.,Centre,3022,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"112 Ashland Avenue (Ave) Winnipeg, MB",Province of Manitoba
1042,MLC Montessori Learning Centre,Centre,2014,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 7 and 9 170 Ashland Avenue (Ave) Winnipeg, MB",Province of Manitoba
1043,Family or Group Child Care Home *,Home,101959,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1044,Roblin Park Community Centre Association Inc.,Centre/Nursery,2207,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"640 Pepperloaf Crescent Winnipeg, MB",Province of Manitoba
1045,Roblin Park Day Care Ltd.,Centre,1292,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"G & E - 5905 Roblin Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1047,Robyn Lynne Vujevic,Home,101033,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1048,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,9627,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 10,14,15, (Gym,Computer & Library) 350 Rockwood Street Winnipeg, MB",Province of Manitoba
1049,Sunny Mountain Day Care Centre (1985) Inc.,Centre,101412,41,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"509 Grey Street Winnipeg, MB",Province of Manitoba
1050,Family or Group Child Care Home *,Home,50821,5,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
1051,Rosalyn Rodriguez,Home,102321,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"37 Prince Philip Crescent Winnipeg, MB",Province of Manitoba
1052,"Rosemarie Presado, Joshua Presado and Gloria Agravante",Home,100607,12,"Infant, Preschool, School Age",Y,Y,Y,Home,"2178 Manitoba Avenue (Ave) Winnipeg, MB",Province of Manitoba
1053,Family or Group Child Care Home *,Home,101245,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1054,Rowena Perey,Home,102279,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"132 Sanford Fleming Road Winnipeg, MB",Province of Manitoba
1055,Rowena Quilnet,Home,102331,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1057,Royal Kids Inc.,Centre,3089,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 19, 20, 22, foyer, library and gym 450 Laxdal Road Winnipeg, MB",Province of Manitoba
1058,Rupertsland Day Care Centre Corporation,Centre,1196,41,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"107 - 201 Princess Street Winnipeg, MB",Province of Manitoba
1059,Family or Group Child Care Home *,Home,102502,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1060,Family or Group Child Care Home *,Home,101369,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1062,Ryerson School Age Centre Inc.,Centre,1210,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms-Kinder,Community,Gym,Multipurpose 10 Ryerson Avenue (Ave) Winnipeg, MB",Province of Manitoba
1064,S.P.L.A.S.H. Child Care Inc.,Centre/Nursery,3062,56,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"233 McKenzie Street Winnipeg, MB",Province of Manitoba
1065,Sadok Veselka Daycare Inc.,Centre,1198,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"520 Airlies Street Winnipeg, MB",Province of Manitoba
1066,Saint Boniface Garderie des Bambins Inc.,Centre,1044,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"240 ave Tache Winnipeg, MB",Province of Manitoba
1067,Sandra Oliveira,Home,100130,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1068,Seven Oaks Child Day Care Centre Inc.,Centre,100599,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gymnasium and Multipurpose Room 25 Morrison Street Winnipeg, MB",Province of Manitoba
1069,Seven Oaks Child Day Care Centre Inc.,Centre,1050,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2300 McPhillips Street Winnipeg, MB",Province of Manitoba
1070,Seven Oaks Sadok Inc.,Centre/Nursery,2029,35,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 2 - 25 Morrison Street Winnipeg, MB",Province of Manitoba
1071,Shannon Trickett,Home,9322,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1072,Shaughnessy Park Daycare Inc.,Centre,1231,83,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 91,93,98,99,110,111,116 1641 Manitoba Avenue (Ave) Winnipeg, MB",Province of Manitoba
1073,Family or Group Child Care Home *,Home,101684,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1074,Shelley Hintz,Home,9139,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1075,Shepherd's Care Day Nursery Inc.,Centre,1051,72,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1188 Jefferson Avenue (Ave) Winnipeg, MB",Province of Manitoba
1076,Shiela Fiestan,Home,102190,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
1077,Shirley Arbeau,Home,9600,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"47 Pike Crescent Winnipeg, MB",Province of Manitoba
1078,Sigfusson Nursery Schools Ltd.,Centre/Nursery,1250,88,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 15, 16 & 17 110 Athlone Drive Winnipeg, MB",Province of Manitoba
1079,Sigfusson Nursery Schools Ltd.,Centre/Nursery,3120,58,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"RM 21, 22 & 23 363 Thompson Drive Winnipeg, MB",Province of Manitoba
1081,Sigfusson Nursery Schools Ltd.,Centre,3072,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"815 Buchanan Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1083,Sister Macnamara Preschool and Infant Daycare Inc.,Centre,1257,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"124, 125 & 126 460 Sargent Avenue (Ave) Winnipeg, MB",Province of Manitoba
1085,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,100698,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rm 17,19,gym and Library 505 Sharron Bay Winnipeg, MB",Province of Manitoba
1086,Sky's The Limit Montessori School,Centre/Nursery,100808,62,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3202 Birds Hill Road Winnipeg, MB",Province of Manitoba
1088,Small Scholars Inc.,Centre,100681,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"125 Sun Valley Drive Winnipeg, MB",Province of Manitoba
1089,Smita Sharma,Home,101999,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"9 Sage Wood Avenue (Ave) Winnipeg, MB",Province of Manitoba
1090,Solid Foundations Montessori School Inc.,Centre,102208,85,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"500 - 2476 Wenzel Street East St. Paul, MB",Province of Manitoba
1091,South Park Child Care Co-op Inc.,Centre,1220,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"194 Burland Avenue (Ave) Winnipeg, MB",Province of Manitoba
1093,S.P.L.A.S.H. Child Care Inc,Centre,100351,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"363 McGregor Street Winnipeg, MB",Province of Manitoba
1094,Spring Meadows School Age Centre Inc.,Centre,3079,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"102,104,105,138,gym,theatre,art,library 95 Bournais Drive Winnipeg, MB",Province of Manitoba
1096,Springs of Living Water Christian Academy Inc.,Centre,101192,56,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms S1, S2 & S3 595 Lagimodiere Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
1098,St. Anne's Day Nursery Inc.,Centre,1206,63,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"425 St. Anne's Road Winnipeg, MB",Province of Manitoba
1100,St. Avila School Age Child Care Progam,Centre,100818,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"#8, 9, 10, gym 633 Patricia Avenue (Ave) Winnipeg, MB",Province of Manitoba
1102,St. Boniface Children's Place d'enfants Inc.(Preschool),Centre,1145,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"365 Desautels Street Winnipeg, MB",Province of Manitoba
1103,St. Boniface Children's Place d'enfants Inc.,Centre,3095,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"584 rue Des Meurons Street Winnipeg, MB",Province of Manitoba
1105,The Young Men's And Young Women's Christian Association Of Winnipeg Inc.,Centre,9097,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 1, 14, Library 151 St. George Road Winnipeg, MB",Province of Manitoba
1107,St. Germain Day Care Centre Inc.,Centre,101257,20,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1212 Dakota Street Winnipeg, MB",Province of Manitoba
1108,St. Germain Day Care Centre Incorporated,Centre/Nursery,1219,65,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"79 John Forsyth Road Winnipeg, MB",Province of Manitoba
1109,St. James Assiniboia Montessori School Inc.,Centre/Nursery,2249,24,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 6 & 8 3180 Mcbey Avenue (Ave) Winnipeg, MB",Province of Manitoba
1110,The Young Men's & Young Women's Christian Association of Winnipeg Inc.,Centre,1261,94,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3550 Portage Avenue (Ave) Winnipeg, MB",Province of Manitoba
1111,St. Matthews Kids Korner Inc.,Centre,101092,35,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"669 St. Matthews Avenue (Ave) Winnipeg, MB",Province of Manitoba
1112,St. Matthews Kids Korner Inc.,Centre,3024,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"525 Agnes Street Winnipeg, MB",Province of Manitoba
