,name,source_facility_type,source_id,capacity,ages,infant,toddler,school_age,facility_type,full_address,provider
733,Jade Buchannon,Home,101675,4,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
735,James Child Care Inc.,Centre,100425,32,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3 Marshall Crescent Winnipeg, MB",Province of Manitoba
737,James Child Care Inc.,Centre,3018,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Lower Level 1226 Waller Avenue (Ave) Winnipeg, MB",Province of Manitoba
738,Janice Panteluk,Home,50446,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"106 Dunits Drive Winnipeg, MB",Province of Manitoba
739,Family or Group Child Care Home *,Home,101856,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
740,Family or Group Child Care Home *,Home,102305,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
741,Jennifer Fehr,Home,100222,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
742,Jennifer Monchamp,Home,102609,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"41 Kurt Avenue (Ave) Winnipeg, MB",Province of Manitoba
744,Family or Group Child Care Home *,Home,102525,11,"Infant, Preschool",Y,Y,N,Home,None,Province of Manitoba
745,Jiawei Xu & Yuanyuan Ai,Home,102163,10,"Infant, Preschool, School Age",Y,Y,Y,Home,"91 Brookfield Crescent Winnipeg, MB",Province of Manitoba
746,Family or Group Child Care Home *,Home,102233,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
747,Family or Group Child Care Home *,Home,101316,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
748,Family or Group Child Care Home *,Home,101919,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
750,JoAnne Cusson,Home,100989,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
751,Family or Group Child Care Home *,Home,102468,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
752,Family or Group Child Care Home *,Home,9146,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
753,Jocelyn Dankewych,Home,9653,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
754,Joelle Hutcheson,Home,9162,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
756,Family or Group Child Care Home *,Home,100533,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
757,Family or Group Child Care Home *,Home,102200,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
758,Family or Group Child Care Home *,Home,101554,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
759,Joyce Mantik,Home,100214,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"77 Carmen Avenue (Ave) Winnipeg, MB",Province of Manitoba
760,Family or Group Child Care Home *,Home,101446,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
761,Family or Group Child Care Home *,Home,101505,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
762,K.E.E.P. Child Care Inc.,Centre,3020,46,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"795 Selkirk Avenue (Ave) Winnipeg, MB",Province of Manitoba
763,K.I.D.S. Kids in day care are super Inc.,Centre,102401,107,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 7,8,10,11,12 & Gym 1600 Grant Avenue (Ave) Winnipeg, MB",Province of Manitoba
764,K.I.D.S. Kids in Day Care are Super Inc.,Centre,102078,135,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"102,105-6,115,121,124,128,131-32,159,241 615 Kirkbridge Drive Winnipeg, MB",Province of Manitoba
766,K.I.D.S. Kids in day care are super Inc.,Centre,101091,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Parish Hall and Nursery Room 755 Elm Street Winnipeg, MB",Province of Manitoba
767,K.I.D.S. Kids in day care are super Inc.,Centre,1251,86,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 106,107,112,113,115,116 691 Montrose Street Winnipeg, MB",Province of Manitoba
769,Ka Ni Kanichihk Inc,Centre,101061,16,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"455 McDermot Avenue (Ave) Winnipeg, MB",Province of Manitoba
770,Karen Desmarais,Home,5569,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
771,Family or Group Child Care Home *,Home,50849,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
773,Family or Group Child Care Home *,Home,9471,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
775,Khadijat Busari,Home,102416,6,"Infant, Preschool, School Age",Y,Y,Y,Home,"11 Manipogo Bay Winnipeg, MB",Province of Manitoba
776,Khoosheh Jalali,Home,102491,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
777,Kidi-Garden Day Nurseries Inc.,Centre,1026,103,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"172 Smithfield Avenue (Ave) Winnipeg, MB",Province of Manitoba
778,Kids & Company Ltd.,Centre,101384,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"158 Fort Street Winnipeg, MB",Province of Manitoba
779,Kidz Korner Infant Childcare Inc.,Centre,9798,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3708 Roblin Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
780,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,Centre,9294,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"lower level: gym,Rm 3,7,14 211 Kimberly Avenue (Ave) Winnipeg, MB",Province of Manitoba
781,Kimberly Onagi,Home,9054,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
782,KinderWorld Day Care Inc.,Centre,1243,124,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1511 Gateway Road Winnipeg, MB",Province of Manitoba
783,Kings Park Day Care Centre Inc.,Centre/Nursery,1027,89,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Unit C, D, E, 230 Dalhousie Drive Winnipeg, MB",Province of Manitoba
785,Knox Day Nursery Inc.,Centre,1028,76,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"406 Edmonton Street Winnipeg, MB",Province of Manitoba
786,Centre for Aboriginal Human Resource Development Inc.,Centre,100798,38,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"134 1/2 Higgins Avenue (Ave) Winnipeg, MB",Province of Manitoba
787,Centre for Aboriginal Human Resource Development Inc.,Centre,9640,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"100 - 181 Higgins Avenue (Ave) Winnipeg, MB",Province of Manitoba
788,Family or Group Child Care Home *,Home,102262,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
789,Provincial Employees Care for Kids Co-op,Centre,101322,102,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"300 - 234 Donald Street N Winnipeg, MB",Province of Manitoba
790,Lakewood Children's Centre Inc.,Centre/Nursery,3005,164,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"102,103,106,108,109,DC1,DC2,gym, inf/PS 55 Kay Crescent Winnipeg, MB",Province of Manitoba
791,Laugh 'N' Learn School Age Centre Inc.,Centre,102082,74,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"555 Paufeld Drive Winnipeg, MB",Province of Manitoba
792,Laugh 'N' Learn School Age Centre Inc.,Centre,9826,43,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Hut 1 and Hut 2 in Donwood School 400 Donwood Drive Winnipeg, MB",Province of Manitoba
793,Laura Secord Community Child Care Inc.,Centre,3021,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"lower level, fireplace rm, gym,main rm 980 Palmerston Avenue (Ave) Winnipeg, MB",Province of Manitoba
794,Le P'tit Bonheur Inc. (Tache),Centre/Nursery,101899,179,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"300 rue Aubert Winnipeg, MB",Province of Manitoba
795,Learning and Growing Day Care Inc.,Centre,1189,76,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"3659 Roblin Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
796,The Learning Tree Day Nursery Inc.,Centre,1029,64,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"7-1575 Regent Avenue (Ave) W Winnipeg, MB",Province of Manitoba
797,Leila Day Care Centre Inc.,Centre,1201,71,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2095 Sinclair Avenue (Ave) Winnipeg, MB",Province of Manitoba
798,Family or Group Child Care Home *,Home,9658,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
799,Family or Group Child Care Home *,Home,102374,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
800,Les Enfants Precieux Inc.,Centre/Nursery,2180,193,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"103,104,107,110-119,204-207,215-217,gym 209 rue Kenny Winnipeg, MB",Province of Manitoba
801,Les Franco-Lions de Lacerte Inc.,Centre/Nursery,2012,75,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"salles 8,9,11,12, gyms, library, 12 - 1101 Autumnwood promenade Winnipeg, MB",Province of Manitoba
802,Les Toupies Inc.,Centre,2140,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"45 ave de la Digue Winnipeg, MB",Province of Manitoba
803,Les Tournesols de St.Vital Inc.,Centre/Nursery,2007,162,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"425 chemin John Forsyth Winnipeg, MB",Province of Manitoba
804,Family or Group Child Care Home *,Home,100215,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
805,Family or Group Child Care Home *,Home,102113,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
806,Family or Group Child Care Home *,Home,101783,5,"Infant, School Age",Y,N,Y,Home,None,Province of Manitoba
807,Family or Group Child Care Home *,Home,5808,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
808,Ryerson School-Age Centre Inc.,Centre,100930,55,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room K, Mini Gym, Art Room 335 Lindenwood Drive E Winnipeg, MB",Province of Manitoba
809,Lindenwoods Child Care Centre Inc.,Centre,1214,84,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1 Princemere Road Winnipeg, MB",Province of Manitoba
810,Linwood Child Centre Inc.,Centre,3006,90,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 1A, 2A, 4A, 5A 266 Linwood Street Winnipeg, MB",Province of Manitoba
812,Lisa Gladu,Home,9325,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"28 Allenby Crescent Winnipeg, MB",Province of Manitoba
813,Family or Group Child Care Home *,Home,9196,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
814,Little Bo-Peep Early Learning Centre Inc.,Centre,1070,96,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rms 14A,15-19,30,Gym, Prendergast Centre 906 Cottonwood Road Winnipeg, MB",Province of Manitoba
815,Little Dipper Montessori Nursery School,Centre/Nursery,9297,66,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 4 and Gym 75 Cottingham Street Winnipeg, MB",Province of Manitoba
816,Little Feet Child Care 2 Ltd.,Centre,101002,90,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"MP Room, Gym, Library, Room 128, 124 315 Oak Street Winnipeg, MB",Province of Manitoba
818,Little Feet Child Care 2 Ltd.,Centre,9725,15,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Nursery Room and Gym/Community Hall 1370 Grosvenor Avenue (Ave) Winnipeg, MB",Province of Manitoba
819,Little Lambs Christian Preschool Inc.,Centre,2288,42,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"955 Wilkes Avenue (Ave) Winnipeg, MB",Province of Manitoba
821,Little Learners Inc.,Centre,100700,60,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 2, 17, Gym and Multi-Purpose Room 323 Emerson Avenue (Ave) Winnipeg, MB",Province of Manitoba
823,Little People's Place Inc.,Centre,1031,150,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 1 to 8,10, Gym & Prendergast Ctr 906 Cottonwood Road Winnipeg, MB",Province of Manitoba
824,Little Saints Learning Center Inc.,Centre,102019,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"5 St. Vital Road Winnipeg, MB",Province of Manitoba
826,Little Saints Learning Center Inc.,Centre,9420,38,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"15 St. Mark's Place Winnipeg, MB",Province of Manitoba
827,YMCA-YWCA of Winnipeg Little Skippers Kinder Program,Centre,101854,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"1144 Kingsford Place Winnipeg, MB",Province of Manitoba
829,Little Voyageurs Learning Centre Inc.,Centre,102359,28,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"619 DesMeurons Street Winnipeg, MB",Province of Manitoba
831,Little Voyageurs Learning Centre Inc.,Centre,1030,114,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms S1, S4, S5, Room 3 and Gym 320 ave de la Cathedrale avenue (av) Winnipeg, MB",Province of Manitoba
832,Little Voyageurs Learning Centre Inc.,Centre,102003,30,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Rooms 1 and 2 363 Enfield Crescent Winnipeg, MB",Province of Manitoba
833,Little Voyageurs Learning Centre Inc.,Centre/Nursery,102616,70,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"649 Brazier Street Winnipeg, MB",Province of Manitoba
834,Living Prairie Childcare Inc.,Centre,102288,74,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"215 des Hivernants Boulevard (Blvd) Winnipeg, MB",Province of Manitoba
835,Liz Gough,Home,50588,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"193 Garton Avenue (Ave) Winnipeg, MB",Province of Manitoba
836,Lord Roberts Children's Programs Inc.,Centre,1032,59,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"725 Kylemore Avenue (Ave) Wpg, MB",Province of Manitoba
837,Lorenda Cabreros,Home,102195,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"1229 Boyd Avenue (Ave) Winnipeg, MB",Province of Manitoba
838,Lorraine Desrosiers-Vaz,Home,5538,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
839,Family or Group Child Care Home *,Home,102490,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
