,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
1811,Dutton Child Care Centre- Rodney Summer Camp,Child Care Centre,Active,135,Queens Street,Rodney,ON,N0L 2C0,Province of Ontario
1812,E3 Community Services Inc. - Tots 'n' Tykes Child Care Centre,Child Care Centre,Active,60,Ninth Street,Collingwood,ON,L9Y 2G2,Province of Ontario
1813,Cabbagetown Early Learning Centre,Child Care Centre,Inactive,162,Parliament Street,Toronto,ON,M5A 2Z1,Province of Ontario
1814,Fraser Mustard Before and After Program,Child Care Centre,Inactive,80,Thorncliffe Park Drive,Toronto,ON,M4H 1K3,Province of Ontario
1815,Fraser Mustard Early Learning Centre,Child Care Centre,Active,82,Thorncliffe Park Drive,Toronto,ON,M4H 1K3,Province of Ontario
1816,Wellesley Early Learning Centre - Earlscourt Creche CDI - 495 Sherbourne Street,Child Care Centre,Active,495,Sherbourne Street,Toronto,ON,M4X 1K7,Province of Ontario
1817,Annex Early Learning Centre,Child Care Centre,Active,161,Madison Avenue,Toronto,ON,M5R 2S6,Province of Ontario
1818,Parkdale Early Learning Centre - CDI - 119 Close Ave.,Child Care Centre,Active,119,Close Avenue,Toronto,ON,M6K 2V2,Province of Ontario
1819,Windermere Early Learning Centre,Child Care Centre,Active,103,The Queensway,Toronto,ON,M6S 5B3,Province of Ontario
1820,EYET Early Learning Centre (Annie's Place),Child Care Centre,Active,101,Barrington Avenue,Toronto,ON,M4C 4Y9,Province of Ontario
1821,EYET Early Learning Centre (Tom's Place),Child Care Centre,Active,80,Sackville Street,Toronto,ON,M5A 3E5,Province of Ontario
1822,"EYET Early Learning Centre, Crescent Town Elementary School",Child Care Centre,Active,4,Massey Square,Toronto,ON,M4C 5M9,Province of Ontario
1823,EDUKIDS Child Care - Cambridge,Child Care Centre,Active,499,Hespeler Road,Cambridge,ON,N1R 6J2,Province of Ontario
1824,ELM CHILDREN'S CENTRE,Child Care Centre,Active,162,Main Street,Glencoe,ON,N0L 1M0,Province of Ontario
1825,The Elora Co-Operative Preschool Inc.,Child Care Centre,Active,75,Geddes Street,Elora,ON,N0B 1S0,Province of Ontario
1826,EMMANUEL AT BRIGHTON CHILD CARE CENTRE,Child Care Centre,Active,65,Noecker Street,Waterloo,ON,N2J 2R6,Province of Ontario
1827,Emmanuel at Brighton Child Care Centre,Child Care Centre,Active,1151,Snyders Flats Road,Bloomingdale,ON,N0B 1K0,Province of Ontario
1828,Early Childhood Development Centre,Child Care Centre,Active,160,Aspen Avenue,Migisi Sahgaigan,ON,P0V 3H0,Province of Ontario
1829,Bowmore Child Enrichment Centre (Operator: Earl Haig) (80 Bowmore Road),Child Care Centre,Active,80,Bowmore Road,Toronto,ON,M4L 3J2,Province of Ontario
1830,Earl Haig Community Day Care Centre (15 Earl Haig Avenue),Child Care Centre,Active,15,Earl Haig Avenue,Toronto,ON,M4C 1E2,Province of Ontario
1831,Early Adventures Nursery School & Child Care Ltd. (200 Melrose St.),Child Care Centre,Active,200,Melrose Street,Toronto,ON,M8Y 1B7,Province of Ontario
1832,Early Beginnings Multicultural Child Development Centre of Ottawa-Carleton,Child Care Centre,Active,11,Nadolny Sachs Private,Ottawa,ON,K2A 1R9,Province of Ontario
1833,St. John's Early Enrichment Day Care Centre (Early Enrichment Day Care - St.),Child Care Centre,Active,288,Humberside Avenue,Toronto,ON,M6P 1L5,Province of Ontario
1834,Orleans Child Care Centre,Child Care Centre,Inactive,2266,St.Joseph Boulevard,Orléans,ON,K1C 1E8,Province of Ontario
1835,Pineview Child Care Centre,Child Care Centre,Inactive,1627,Maxime Street,Gloucester,ON,K1B 3K9,Province of Ontario
1836,Early Learning KinderCare,Child Care Centre,Active,14,Mill Street,Russell,ON,K4R 1E1,Province of Ontario
1837,Early Years Education System (E.Y.E.S),Child Care Centre,Active,3000,Victoria Park Avenue,Toronto,ON,M2J 4Y2,Province of Ontario
1838,Earth Kidz Early Learning Centre,Child Care Centre,Active,117,Centrepointe Drive,Ottawa,ON,K2G 5X3,Province of Ontario
1839,BRIGHT BEGINNINGS EARLY CHILDHOOD CENTRE,Child Care Centre,Active,123,Montebello Drive,London,ON,N5W 1S1,Province of Ontario
1840,East Oshawa Co-operative Preschool Inc.,Child Care Centre,Inactive,32,Wilson Road,Oshawa,ON,L1G 6C8,Province of Ontario
1841,East Plains Co-op Preschool,Child Care Centre,Inactive,375,Plains Road,Burlington,ON,L7T 2C7,Province of Ontario
1842,Charlottetown Licensed Before and After School Program,Child Care Centre,Active,85,Charlottetown Boulevard,Toronto,ON,M1C 2C7,Province of Ontario
1843,East Scarborough Boys' and Girls' Club (Eastside Child Care Centre - 20 Waldock),Child Care Centre,Active,20,Waldock Street,Toronto,ON,M1E 2E5,Province of Ontario
1844,East Scarborough Child Care Centre (East Scarborough Boys and Girls Club),Child Care Centre,Active,230,Morningside Avenue,Toronto,ON,M1E 3E1,Province of Ontario
1845,Eastside Club Day Care - 100 Galloway Road,Child Care Centre,Active,100,Galloway Road,Toronto,ON,M1E 1W7,Province of Ontario
1846,St. Brendan Kindergarten Before & After School Program,Child Care Centre,Active,186,Centennial Road,Scarborough,ON,M1C 1Z9,Province of Ontario
1847,St. Ursula Licensed Before and After School Program,Child Care Centre,Active,215,Livingston Road,Scarborough,ON,M1E 1L8,Province of Ontario
1848,West Rouge Kindergarten Extended Care Program,Child Care Centre,Active,401,Friendship Avenue,Toronto,ON,M1C 2X8,Province of Ontario
1849,William G. Davis Kindergarten Extended Care Program,Child Care Centre,Active,128,East Avenue,Toronto,ON,M1C 3L6,Province of Ontario
1850,East Toronto Village Children's Centre,Child Care Centre,Active,43,Kimberley Avenue,Toronto,ON,M4E 2Z4,Province of Ontario
1851,East York Montessori School,Child Care Centre,Active,484-486,Cosburn Avenue,East York,ON,M3J 2N5,Province of Ontario
1852,Eccles Street Learn and Play Day Care Centre - FD,Child Care Centre,Active,77,Eccles Street,Barrie,ON,L4N 1X8,Province of Ontario
1853,Echo Montessori,Child Care Centre,Inactive,798,Scottsdale Drive,Guelph,ON,N1G 3L8,Province of Ontario
1854,EdTech Hive Inc,Child Care Centre,Active,75,Waterbridge Lane,UNIONVILLE,ON,L3R 4G3,Province of Ontario
1855,Eden Daycare Inc.,Child Care Centre,Active,3051,Battleford Road,Mississauga,ON,L5N 5Z9,Province of Ontario
1856,Edgewood Child Care Centre,Child Care Centre,Active,9,Stevens Avenue,Ottawa,ON,K1K 1K4,Province of Ontario
1857,Edukids Child Care Centre - Harmony,Child Care Centre,Active,15,Harmony Road,Oshawa,ON,L1G 6K8,Province of Ontario
1858,Educara Montessori Child Care – Barrhaven,Child Care Centre,Active,275,Tartan Drive,Ottawa,ON,K2J 3T1,Province of Ontario
1859,Educare Children's Centre,Child Care Centre,Active,1615,Bloor Street,Mississauga,ON,L4X 1S2,Province of Ontario
1860,Curious Kids Daycare Centre,Child Care Centre,Inactive,21,Bedford Park Avenue,Richmond Hill,ON,L4C 2N9,Province of Ontario
1861,Edukids - Bradford,Child Care Centre,Active,40,John Street,Bradford,ON,L3Z 1J5,Province of Ontario
1862,Edukids Child Care Centre (Bayly) Ltd,Child Care Centre,Active,75,Bayly Street,Ajax,ON,L1S 7K7,Province of Ontario
1863,EduKids Child Care Centre Bowmanville Ltd Ontario Inc 1873208,Child Care Centre,Active,2665,Concession Road #3 Road,Bowmanville,ON,L1C 3K6,Province of Ontario
1864,Edukids Child Care Centre Salem Ltd.,Child Care Centre,Active,255,Salem Road,Ajax,ON,L1Z 0B1,Province of Ontario
1865,Edukids Child Care Centre (Uxbridge) Ltd.,Child Care Centre,Active,141,Reach Street,Uxbridge,ON,L9P 1L3,Province of Ontario
1866,"EduKids Child Care Centre, Whitby",Child Care Centre,Active,1121,Dundas Street,Whitby,ON,L1N 2K4,Province of Ontario
1867,Edukids Child Care Centre,Child Care Centre,Active,1875,Glenanna Road,Pickering,ON,L1V 3V6,Province of Ontario
1868,Edukids Child Learning Centre Ltd.,Child Care Centre,Active,1320,Altona Road,Pickering,ON,L1V 1M1,Province of Ontario
1869,Edukids Day Care Centre of Norfolk,Child Care Centre,Active,227,Main Street,Waterford,ON,N0E 1Y0,Province of Ontario
1870,Eitz Chaim Schools VM,Child Care Centre,Active,2742,Bathurst Street,Toronto,ON,M6B 1T2,Province of Ontario
1871,Eitz Chaim Schools (SF),Child Care Centre,Active,80,York hill Boulevard,Thornhill,ON,L4J 2P6,Province of Ontario
1872,Elder Tree Montessori,Child Care Centre,Inactive,801,Carlaw Avenue,Toronto,ON,M4K 3L1,Province of Ontario
1873,Stars Day Care,Child Care Centre,Active,6801,Hagar Avenue,Niagara Falls,ON,L2G 5M5,Province of Ontario
1874,EDCNS Before/After School Care,Child Care Centre,Active,1,Halladay Street,Elgin,ON,K0G 1E0,Province of Ontario
1875,Elgin & District Cooperative Nursery School,Child Care Centre,Active,77,Main Street,Elgin,ON,K0G 1E0,Province of Ontario
1876,Elgin View Montessori School,Child Care Centre,Inactive,10568,Bayview Avenue,Richmond Hill,ON,L4C 4N8,Province of Ontario
1877,Rutherford School,Child Care Centre,Inactive,37,Jacob Keffer Parkway,Maple,ON,L4K 5N8,Province of Ontario
1878,Cedarglen Nursery School,Child Care Centre,Inactive,1516,Clarkson Road,Mississauga,ON,L5J 2W9,Province of Ontario
1879,Castle Park Playschool,Child Care Centre,Active,1971,Queen Street,Toronto,ON,M4L 1H9,Province of Ontario
1880,Ellesmere Montessori School,Child Care Centre,Active,37,Marchington Circle,Toronto,ON,M1R 3M6,Province of Ontario
1881,Elmira Community Nursery School,Child Care Centre,Inactive,22,Mockingbird Drive,Elmira,ON,N3B 1H4,Province of Ontario
1882,Elmira Community Nursery School,Child Care Centre,Active,250,William Street,Elmira,ON,N3B 0B9,Province of Ontario
1883,Elmvale Co-operative Nursery School,Child Care Centre,Active,27,Yonge Street,Elmvale,ON,L0L 1P0,Province of Ontario
1884,Elmwood School,Child Care Centre,Active,261,Buena Vista Road,Ottawa,ON,K1M 0V9,Province of Ontario
1885,Engaging Minds Child Care,Child Care Centre,Active,29,Gervais Drive,Toronto,ON,M3C 1Y9,Province of Ontario
1886,Englehart and Area Child Care Centre,Child Care Centre,Active,80,8th Avenue,Englehart,ON,P0J 1H0,Province of Ontario
1887,Enjoy Learning Centre Ltd.,Child Care Centre,Active,27,Passmore Avenue,Toronto,ON,M1V 4T4,Province of Ontario
1888,Enriched Child Care Learning Centre (op: Unique Care Ltd.),Child Care Centre,Active,6030,Bathurst Street,Toronto,ON,M2R 1Z9,Province of Ontario
1889,King City Montessori School,Child Care Centre,Active,2194,King Road,King City,ON,L7B 1L3,Province of Ontario
1890,Epic School,Child Care Centre,Inactive,111,Manor Road,Toronto,ON,M4S 1R4,Province of Ontario
1891,Erin Mills Co-operative Nursery,Child Care Centre,Active,2264,Council Ring Road,Mississauga,ON,L5L 1B7,Province of Ontario
1892,Erindale Nursery School Inc.,Child Care Centre,Inactive,2438,Glengarry Road,Mississauga,ON,L5C 1Y2,Province of Ontario
1893,Etobicoke Montessori School - 4 La Rose Avenue (1118112 Ontario Limited),Child Care Centre,Active,4,La Rose Avenue,Toronto,ON,M9P 1A5,Province of Ontario
1894,Eureka Kids Inc.,Child Care Centre,Active,130,Mineola Road,Mississauga,ON,L5G 2E5,Province of Ontario
1895,Eureka Kids Inc.,Child Care Centre,Active,5072,Winston Churchill Boulevard,Terra Cotta,ON,L0P 1N0,Province of Ontario
1896,Eureka Montessori - 1619722 Ontario Ltd.,Child Care Centre,Active,13345,Yonge Street,Richmond Hill,ON,L4E 3L3,Province of Ontario
1897,Evangel Day Care Centre,Child Care Centre,Active,374,Farewell Street,Oshawa,ON,L1H 6M2,Province of Ontario
1898,Apple Day Care Centre (Evans Development Corporation),Child Care Centre,Active,3434,Eglinton Avenue,Toronto,ON,M1J 2J1,Province of Ontario
1899,Guildwood Child Care Centre (Evans Development Corporation - Kingston Rd),Child Care Centre,Active,3969,Kingston Road,Toronto,ON,M1J 3H8,Province of Ontario
1900,Guildwood Childcare Centre Satellite (Evans Corp 85 Livingston),Child Care Centre,Inactive,85,Livingston Road,Toronto,ON,M1E 1K7,Province of Ontario
1901,Martingrove Childcare Centre (Evans Development Corporation),Child Care Centre,Active,256,John Garland Boulevard,Toronto,ON,M9V 1N8,Province of Ontario
1902,Evergreen Day Care Centre Inc.,Child Care Centre,Active,7828,Kennedy Road,Markham,ON,L3R 5P1,Province of Ontario
1903,Evergreen Heights Child Care Centre,Child Care Centre,Active,140,Oak,Simcoe,ON,N3Y 5M5,Province of Ontario
1904,Imaginarium Learning Centre,Child Care Centre,Inactive,2701,Rutherford Road,Vaughan,ON,L4K 2N6,Province of Ontario
1905,Family Day Buchanan Extended Day and School Age Program,Child Care Centre,Active,4,Bucannan Road,Scarborough,ON,M1R 3V3,Province of Ontario
1906,Family Day Care Service Wexford Extended Day and School Age Program,Child Care Centre,Active,1050,Pharmacy Avenue,Scarborough,ON,M1R 2H1,Province of Ontario
1907,Family Day Care Services (St. Sylvester Child Care Centre),Child Care Centre,Active,260,Silver Springs Boulevard,Toronto,ON,M1V 1S3,Province of Ontario
1908,Family Day Care Services - Blessed Pier Giorgio Frassati Extended Day/Before and After School Progra,Child Care Centre,Active,8,Seasons Drive,Scarborough,ON,M1X 1X4,Province of Ontario
1909,Family Day Care Services - Brookside Child Care Centre,Child Care Centre,Active,75,Oasis Boulevard,Toronto,ON,M1X 0A3,Province of Ontario
1910,Family Day Care Services - Mary Ward Child Care Centre,Child Care Centre,Active,3200,Kennedy Road,Toronto,ON,M1V 3S8,Province of Ontario
1911,Family Day Care Services(Flemingdon Park Schoolage & Family Centre) Fac #2042,Child Care Centre,Active,150,Grenoble Drive,Toronto,ON,M3C 1E3,Province of Ontario
1912,Family Day Kennedy Extended Day and School Age Program,Child Care Centre,Active,20,Elmfield Crescent,Scarborough,ON,M1V 2Y6,Province of Ontario
1913,Family Day Lynnwood Heights Extended Day and School Age Program,Child Care Centre,Active,50,Southlawn Drive,Scarborough,ON,M1S 1J1,Province of Ontario
1914,Family Day Silver Springs Extended Day and School Age Program,Child Care Centre,Active,222,Silver Springs Boulevard,Scarborough,ON,M1V 1S4,Province of Ontario
1915,Family Day Terraview-Willowfield Extended Day and School Age Program,Child Care Centre,Active,95,Pachino Boulevard,Scarborough,ON,M1R 4K1,Province of Ontario
1916,The Divine Infant Child Care Centre (OP: Family Day Care Services),Child Care Centre,Active,30,Ingleton Boulevard,Toronto,ON,M1V 3H7,Province of Ontario
1917,Family Day Care Services - Armadale Child Care Centre,Child Care Centre,Active,11,Coppard Avenue,Markham,ON,L3S 2J4,Province of Ontario
1918,Family Day Care Services - Bayview Fairways School Age,Child Care Centre,Active,255,Bayview Fairways Drive,Thornhill,ON,L3T 2Z6,Province of Ontario
1919,Family Day Care Services - Bayview Hill Child Care Centre - Full Day,Child Care Centre,Active,81,Strathearn Avenue,Richmond Hill,ON,L4B 2J5,Province of Ontario
1920,Family Day Care Services - Boxwood School Age Program,Child Care Centre,Active,30,Boxwood Crescent,Markham,ON,L3S 3P6,Province of Ontario
1921,Family Day Care Services - Doncrest Child Care Centre,Child Care Centre,Active,124,Blackmore Avenue,Richmond Hill,ON,L4B 2B1,Province of Ontario
1922,Family Day Care Services - Hagerman House Child Care - Full Day,Child Care Centre,Active,3990,14th Avenue,Markham,ON,L3R 6J8,Province of Ontario
1923,Family Day Care Services - Markville Child Care Centre,Child Care Centre,Active,1000,Carlton Road,Markham,ON,L3P 7P5,Province of Ontario
1924,Family Day Care Services - Parkland Child Care Centre,Child Care Centre,Active,18,Coxworth Avenue,Markham,ON,L3S 3B8,Province of Ontario
1925,Family Day Care Services - Randall Child Care Centre,Child Care Centre,Active,50,Randall Avenue,Markham,ON,L3S 1E2,Province of Ontario
1926,Family Day Care Services - Roselawn Before and After School,Child Care Centre,Active,422,Carrville Avenue,Richmond Hill,ON,L4C 6E6,Province of Ontario
1927,Family Day Care Services - St. Charles Garnier Before & After School Program,Child Care Centre,Active,16,Castlerock Drive,Richmond Hill,ON,L4C 5H5,Province of Ontario
1928,Family Day Care Services - St. Francis Xavier School Age,Child Care Centre,Active,223,Highglen Avenue,Markham,ON,L3S 1Y4,Province of Ontario
1929,Family Day Care Services - Thornhill Child Care Centre,Child Care Centre,Active,7755,Bayview Avenue,Thornhill,ON,L3T 4P1,Province of Ontario
1930,Family Day Cedarwood Before & After School Program,Child Care Centre,Active,399,Elson Street,Markham,ON,L3S 4R8,Province of Ontario
1931,Ross Doan Child Care Centre,Child Care Centre,Active,101,Weldrick Road,Richmond Hill,ON,L4C 3T9,Province of Ontario
1932,Eldorado Extended Day and School Age Program,Child Care Centre,Active,25,Wardsville Drive,Brampton,ON,M2H 3N5,Province of Ontario
1933,Esker Lake Early Learning and Child Care Centre,Child Care Centre,Active,10420,Heart Lake Road,Brampton,ON,L6Z 4S2,Province of Ontario
1934,FAMILY DAY CARE SERVICES-BERYL FORD FDK/BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,45,ironshield Drive,Brampton,ON,M2H 3N5,Province of Ontario
1935,FAMILY DAY CARE SERVICES-ELLENGALE FDK/BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,3480,Ellengale Drive,Mississauga,ON,L5C 1Z7,Province of Ontario
1936,FAMILY DAY CARE SERVICES-FAIRLAWN BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Inactive,12175,Bramalea Road,Caledon,ON,L7C 2P9,Province of Ontario
1937,FAMILY DAY CARE SERVICES-RAYLAWSON BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,725,Ray Lawson Boulevard,Brampton,ON,L6Y 4N3,Province of Ontario
1938,FAMILY DAY CARE SERVICES-SACRED HEART FDK/BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,24,Kerwood Place,Brampton,ON,L6Z 1Y1,Province of Ontario
1939,FAMILY DAY CARE SERVICES-SOUTH FIELDS VILLAGE-FDK/BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,110,Learmont Avenue,Caledon,ON,M2H 3N5,Province of Ontario
1940,FAMILY DAY CARE SERVICES-THORN LODGE FDK/BEFORE & AFTER SCHOOL PROGRAM,Child Care Centre,Active,2730,Thorn Lodge Drive,Mississauga,ON,L5K 1L2,Province of Ontario
1941,Fairlawn Extended Day and School Age Program,Child Care Centre,Active,40,Fairlawn Boulevard,Brampton,ON,M2H 3N5,Province of Ontario
1942,Family Day Alloa Extended Day and School Age Program,Child Care Centre,Inactive,1248,Mayfield Road,Caledon,ON,L7C 0Y7,Province of Ontario
1943,Family Day Care Services - Barondale Before and After School Program,Child Care Centre,Active,200,Barondale Drive,Mississauga,ON,L4Z 3N7,Province of Ontario
1944,Family Day Care Services - Cherrytree Child Care Centre,Child Care Centre,Active,155,Cherrytree Drive,Brampton,ON,L6Y 3M6,Province of Ontario
1945,Family Day Care Services - Esker Lake Child Care Centre,Child Care Centre,Inactive,10420,Heart Lake Road,Brampton,ON,L6T 3S1,Province of Ontario
1946,Family Day Care Services - Hickory Wood Child Care Centre,Child Care Centre,Active,630,Ray Lawson Boulevard,Brampton,ON,L6Y 4W8,Province of Ontario
1947,Family Day Care Services - Holy Spirit Before & After School Program,Child Care Centre,Active,25,Bloomsbury Avenue,Brampton,ON,L6P 1W9,Province of Ontario
1948,Family Day Care Services - James Grieve FDK/School Age Program,Child Care Centre,Inactive,12175,Bramalea Road,Caledon,ON,L7C 2P9,Province of Ontario
1949,Family Day Care Services - Nahani Way Child Care Centre,Child Care Centre,Active,235,Nahani Way,Mississauga,ON,L4Z 3J6,Province of Ontario
1950,Family Day Care Services - Our Lady of Providence Child Care Centre,Child Care Centre,Active,35,Black Oak Drive,Brampton,ON,L5T 2J8,Province of Ontario
1951,Family Day Care Services - Philip Pocock Child Care Centre,Child Care Centre,Active,4555,Tomken Road,Mississauga,ON,L4W 1J9,Province of Ontario
1952,Family Day Care Services - St. Bernadette Child Care Centre,Child Care Centre,Active,1060,White Clover Way,Mississauga,ON,L5V 1G7,Province of Ontario
1953,Family Day Care Services - St. Francis Xavier Child Care Center,Child Care Centre,Active,50,Bristol Road,Mississauga,ON,L5R 3K3,Province of Ontario
1954,Family Day Care Services - St. Herbert Child Care Centre and School Age,Child Care Centre,Active,5180,Fallingbrook Drive,Mississauga,ON,L5V 2C6,Province of Ontario
1955,Family Day Care Services - St. Maria Goretti Child Care Centre,Child Care Centre,Active,121,Royal Orchard Drive,Brampton,ON,L6X 4K9,Province of Ontario
1956,Family Day Care Services - St. Raymond Before & After School Program,Child Care Centre,Active,5735,Whitehorn Avenue,Mississauga,ON,L5V 2A9,Province of Ontario
1957,Family Day Care Services - St. Valentine Before & After School Program,Child Care Centre,Active,5610,Heatherleigh Avenue,Mississauga,ON,L5V 2V7,Province of Ontario
1958,Family Day Care Services - Tony Pontes Early Learning and Child Care Centre,Child Care Centre,Active,12872,Kennedy Road,Caledon,ON,L7C 4C4,Province of Ontario
1959,Family Day Care Services - Willow Way Child Care Centre,Child Care Centre,Active,1715,Willow Way Drive,Mississauga,ON,L5M 3W5,Province of Ontario
1960,Family Day Collegeside Early Learning Centre,Child Care Centre,Active,7899,McLaughlin Road,Brampton,ON,L6Y 5H9,Province of Ontario
1961,Family Day Nelson Mandela FDK Before and After School Program,Child Care Centre,Active,10125,Chinguacousy Road,Brampton,ON,L7A 3Z6,Province of Ontario
1962,Mountain Ash FDK/Befor and After School Program,Child Care Centre,Active,280,Mountainash Road,Brampton,ON,L6R 3G2,Province of Ontario
1963,North Park Early Learning and Child Care Centre,Child Care Centre,Active,10,North Park Drive,Brampton,ON,L6S 3M1,Province of Ontario
1964,SIR ISAAC BROCK EXTENDED DAY AND SCHOOL AGE PROGRAM,Child Care Centre,Active,45,Melwater Crescent,Brampton,ON,M2H 3N5,Province of Ontario
1965,Family Day Care Services - Home Child Care (PHDC),Home Child Care Agency,Active,155,Gordon Baker Road,Toronto,ON,M2H 3N5,Province of Ontario
1966,Family Day Care Services - Private Home Day Care,Home Child Care Agency,Active,155,Gordon Baker Road,Toronto,ON,M2H 3N5,Province of Ontario
1967,Accora Centre,Child Care Centre,Active,98,Woodridge Crescent,Ottawa,ON,K2B 7S9,Province of Ontario
1968,FIREFLY Child Care,Child Care Centre,Active,820,Lakeview Drive,Kenora,ON,P9N 3P7,Province of Ontario
1969,FIREFLY Child Care at Evergreen,Child Care Centre,Active,1,Brinkman Road,Kenora,ON,P9N 2R5,Province of Ontario
1970,FIREFLY Child Care at King George VI,Child Care Centre,Active,,340 Sixth Avenue South,Kenora,ON,P9N 2C3,Province of Ontario
1971,FIREFLY Childcare at Lakewood,Child Care Centre,Inactive,240,Veteran's Drive,Kenora,ON,P9N 3B2,Province of Ontario
1972,Keewatin Kid's B.A.S.E.,Child Care Centre,Active,30,Mill Street,Kenora,ON,P0X 1C0,Province of Ontario
1973,St. Louis Kid's B.A.S.E,Child Care Centre,Active,417,8th Street,Keewatin,ON,P0X 1C0,Province of Ontario
1974,Valleyview Kids's B.A.S.E.,Child Care Centre,Active,1529,Valley Drive,Kenora,ON,P9N 4K3,Province of Ontario
1975,First Journey Montessori Inc.,Child Care Centre,Active,1551,Laperriere Avenue,Ottawa,ON,K1Z 7T2,Province of Ontario
1976,First Steps Child Care Centre -Tecumseh,Child Care Centre,Active,13291,Tecumseh Road,Tecumseh,ON,N8N 2T4,Province of Ontario
1977,First Steps Child Care Centre-Essex,Child Care Centre,Active,169,Irwin Avenue,Essex,ON,N8M 2T4,Province of Ontario
1978,FRIENDSHIP CO-OPERATIVE PLAYSCHOOL OF WOODSTOCK,Child Care Centre,Active,723,Dundas Street,Woodstock,ON,N4S 1E8,Province of Ontario
1979,FUN SCHOOL,Child Care Centre,Active,44,Port Street,Mississauga,ON,L5H 1C9,Province of Ontario
1980,FunCare Learning Centre,Child Care Centre,Active,119,Arthur Street,Elmira,ON,N3B 0C4,Province of Ontario
1981,Fairlawn Pre-School Inc.,Child Care Centre,Active,28,Fairlawn Avenue,Toronto,ON,M5M 1S7,Province of Ontario
1982,Fairport Montessori Academy,Child Care Centre,Active,1825,Manning Road,Whitby,ON,L1N 3M4,Province of Ontario
1983,Fairview Child Care Centre,Child Care Centre,Active,437,Donald Street,Ottawa,ON,K1K 1L8,Province of Ontario
1984,Fairview Glen Montessori,Child Care Centre,Active,3508,Commerce Court,Burlington,ON,L7N 3L7,Province of Ontario
1985,Faith Infant & Early Education Centre,Child Care Centre,Active,43,Crosby Avenue,Richmond Hill,ON,L4C 2R3,Province of Ontario
1986,Faith Lutheran Day Care Centre of Downsview Inc.,Child Care Centre,Active,96,Hucknall Road,Toronto,ON,M3J 1V8,Province of Ontario
1987,"Rainbow's End Faith Lutheran Daycare ""Satellite""",Child Care Centre,Active,33,Lamberton Boulevard,Toronto,ON,M3J 1G6,Province of Ontario
1988,FAITH DAY NURSERY,Child Care Centre,Active,1920,Huron Street,London,ON,N5V 3A7,Province of Ontario
1989,Family Space Home Child Care,Home Child Care Agency,Active,100,Station Street,Belleville,ON,K8N 2S5,Province of Ontario
1990,Family Tree Childcare Centre,Child Care Centre,Active,194,McEwan Drive,Bolton,ON,L7E 4E5,Province of Ontario
1991,Fan-Tastic Scholars Child Learning Centre,Child Care Centre,Active,1960,Main Street,Hamilton,ON,L8S 4N5,Province of Ontario
1992,East End Scholars,Child Care Centre,Active,138,Birch Avenue,Hamilton,ON,L8L 6H7,Province of Ontario
1993,Farmer's Dell Co-operative Preschool,Child Care Centre,Active,1062,Golf Club Road,Hannon,ON,L0R 1C0,Province of Ontario
1994,"Children's Palace Montessori, Pre-school & Daycare",Child Care Centre,Active,820,Southdown Road,Mississauga,ON,L5J 2Y4,Province of Ontario
1995,Faywood Boulevard Child Care Program,Child Care Centre,Active,95,Faywood Boulevard,Toronto,ON,M3H 2X5,Province of Ontario
1996,Fenside Drive Children's Centre Inc.,Child Care Centre,Active,131,Fenside Drive,Toronto,ON,M3A 2V9,Province of Ontario
1997,Fern Hill School,Child Care Centre,Active,50,Vaughan Street,Ottawa,ON,K1M 1X1,Province of Ontario
1998,Fern Hill School,Child Care Centre,Active,801,North Service Road,Burlington,ON,L7P 5B6,Province of Ontario
1999,Fern Hill School,Child Care Centre,Active,3300,Ninth Line,Oakville,ON,L6H 7A8,Province of Ontario
2000,Ferncliff Daycare and After School Group,Child Care Centre,Active,128,Fern Avenue,Toronto,ON,M6R 1K3,Province of Ontario
2001,Ferris Lane Community Daycare,Child Care Centre,Active,49,Ferris Lane,Barrie,ON,L4M 2Y1,Province of Ontario
2002,Finch Flyers,Child Care Centre,Active,277,Finch Avenue,Toronto,ON,M2N 4S3,Province of Ontario
2003,Firm Foundation,Child Care Centre,Active,824,Thompson Road,Milton,ON,L9T 2X5,Province of Ontario
2004,First Baptist Church - Teddy Bear Day Care - St. Paul Site,Child Care Centre,Inactive,1,Edward Street,Coniston,ON,P0M 1M0,Province of Ontario
2005,First Baptist Church - Teddy Bear Daycare,Child Care Centre,Inactive,2603,Falconbridge Highway,Garson,ON,P3L 1K6,Province of Ontario
2006,First Baptist Church - Teddy Bear Daycare - St. John's Site,Child Care Centre,Inactive,181,William Street,Garson,ON,P3L 1T7,Province of Ontario
2007,First Baptist Church - Teddy Bear Daycare - St. Raphael Site,Child Care Centre,Inactive,1096,Dublin Street,Sudbury,ON,P3A 1R6,Province of Ontario
2008,First Baptist Church Teddy Bear Day Care St. Bernadette Site,Child Care Centre,Inactive,870,Auger Street,Sudbury,ON,P3A 4Z6,Province of Ontario
2009,First Baptist Church Teddy Bear Daycare Holy Trinity Site,Child Care Centre,Inactive,1945,Hawthorne Drive,Sudbury,ON,P3A 0C1,Province of Ontario
