,name,source_facility_type,capacity,infant,toddler,facility_type,city,full_address,postal_code,provider
2041,INSTALLATION LES GAMINS D'ICI,CPE,55.0,Y,Y,Day Care,Baie-Comeau,"22, avenue Monseigneur Plessis",G4Z 1X8,Province of Quèbec
2042,LES P'TITS BÉCOTS,CPE,78.0,Y,Y,Day Care,Baie-Comeau,"525, boulevard Blanche",G5C 2B2,Province of Quèbec
2043,CENTRE DE LA PETITE ENFANCE MER ET MOUSSE,CPE,32.0,Y,Y,Day Care,Blanc-Sablon,"2, rue Pointe-Lazy",G0G 1W0,Province of Quèbec
2044,CPE LA GIROFLÉE ESCOUMINS,CPE,26.0,Y,Y,Day Care,Essipit,"29, rue de la Réserve",G0T 1K0,Province of Quèbec
2045,"CENTRE DE LA PETITE ENFANCE ""LE MUR-MÛR"" INC.",CPE,78.0,Y,Y,Day Care,Fermont,"299, Le Carrefour, local 22",G0G 1J0,Province of Quèbec
2046,CPE LA GIROFLÉE FORESTVILLE,CPE,16.0,Y,Y,Day Care,Forestville,"11, 10e rue",G0T 1E0,Province of Quèbec
2047,CENTRE DE LA PETITE ENFANCE PICASSOU INC.,CPE,75.0,Y,Y,Day Care,Havre-Saint-Pierre,"1310, rue de la Digue",G0G 1P0,Province of Quèbec
2048,CENTRE DE LA PETITE ENFANCE SACHIDUN,CPE,26.0,Y,Y,Day Care,Kawawachikamach,"1011, route Naskapi",G0G 2Z0,Province of Quèbec
2049,CENTRE DE LA PETITE ENFANCE NUSSUM,CPE,29.0,Y,Y,Day Care,La Romaine,"92, rue du Large C.P. 212",G0G 1M0,Province of Quèbec
2050,CPE LA GIROFLÉE BERGERONNES,CPE,21.0,Y,Y,Day Care,Les Bergeronnes,"512, rue du Boisé",G0T 1G0,Province of Quèbec
2051,INSTALLATION 2 AUX MILLE SURPRISES,CPE,21.0,Y,Y,Day Care,Longue-Pointe-de-Mingan,"499, rue du Centre",G0G 1V0,Province of Quèbec
2052,CENTRE DE LA PETITE ENFANCE AUASSIS,CPE,58.0,Y,Y,Day Care,Maliotenam,"30, rue Manakash",G4R 4K2,Province of Quèbec
2053,CENTRE DE LA PETITE ENFANCE UAPUKUN,CPE,64.0,Y,Y,Day Care,Natashquan,"188, rue Pashin",G0G 2E0,Province of Quèbec
2054,NUITSHEUAKAN,CPE,78.0,Y,Y,Day Care,Pessamit,"2, place Niash Picard",G0H 1B0,Province of Quèbec
2055,LA MER-VEILLEUSE,CPE,78.0,Y,Y,Day Care,Port-Cartier,"31, rue Audubon",G5B 1M2,Province of Quèbec
2056,LE SENTIER DES MERVEILLES,CPE,78.0,Y,Y,Day Care,Port-Cartier,"20, boulevard des Îles",G5B 2N4,Province of Quèbec
2057,INSTALLATION MAGIMUSE,CPE,44.0,Y,Y,Day Care,Ragueneau,"37, route 138",G0H 1S0,Province of Quèbec
2058,CENTRE DE LA PETITE ENFANCE GRAIN DE SOLEIL,CPE,52.0,Y,Y,Day Care,Sacré-Coeur,"64, rue Dufour",G0T 1Y0,Province of Quèbec
2059,CENTRE DE LA PETITE ENFANCE UATIKUSS,CPE,44.0,Y,Y,Day Care,Schefferville,"204, rue Lorraine",G0G 2T0,Province of Quèbec
2060,AU JARDIN DES RÊVES,CPE,78.0,Y,Y,Day Care,Sept-Îles,"51, rue Joséphat-Méthot",G4R 0G2,Province of Quèbec
2061,AUX MILLE MERVEILLES,CPE,57.0,Y,Y,Day Care,Sept-Îles,"123, rue de la Vérendrye",G4R 5V3,Province of Quèbec
2062,CENTRE DE LA PETITE ENFANCE NID D'HIRONDELLE,CPE,55.0,Y,Y,Day Care,Sept-Îles,"392, rue Comeau",G4R 5K8,Province of Quèbec
2063,CENTRE À LA PETITE ENFANCE RITOURN'AILES DE SEPT-ÎLES,CPE,70.0,Y,Y,Day Care,Sept-Îles,"912, avenue De Quen",G4R 2S5,Province of Quèbec
2064,LA MAISONNETTE,CPE,45.0,Y,Y,Day Care,Sept-Îles,"21, rue Michaud",G4R 1G9,Province of Quèbec
2065,LA MER VEILLE,CPE,39.0,Y,Y,Day Care,Sept-Îles,"186, avenue Brochu",G4R 2W2,Province of Quèbec
2066,CPE LA GIROFLÉE TADOUSSAC,CPE,21.0,Y,Y,Day Care,Tadoussac,"286-A, rue de la Falaise",G0T 2A0,Province of Quèbec
2067,CENTRE DE LA PETITE ENFANCE METUETAU,CPE,78.0,Y,Y,Day Care,Uashat,"101, rue Pashin",G4R 5E8,Province of Quèbec
2068,CENTRE DE LA PETITE ENFANCE AKULIVIK,CPE,30.0,Y,Y,Day Care,Akulivik,", C.P. 19",J0M 1V0,Province of Quèbec
2069,CENTRE DE LA PETITE ENFANCE SUKLIATEET,CPE,30.0,Y,Y,Day Care,Aupaluk,", C.P. 39",J0M 1X0,Province of Quèbec
2070,CENTRE DE LA PETITE ENFANCE PELUCHES ET BALUCHONS,CPE,45.0,Y,Y,Day Care,Chapais,"21, 2e Avenue",G0W 1H0,Province of Quèbec
2071,CENTRE DE LA PETITE ENFANCE AWASH UTAMET,CPE,60.0,Y,Y,Day Care,Chibougamau,"611, 5e Rue C.P. G8P",G8P 0C2,Province of Quèbec
2072,CENTRE DE LA PETITE ENFANCE PLANÈTE SOLEIL,CPE,73.0,Y,Y,Day Care,Chibougamau,"899, rue O'Connell",G8P 2N3,Province of Quèbec
2073,JENNA CENTRE,CPE,80.0,Y,Y,Day Care,Chisasibi,"4, Chemin Fort-George",J0M 1E0,Province of Quèbec
2074,NUDIWAASHAU CENTRE,CPE,80.0,Y,Y,Day Care,Chisasibi,"38, Chemin Fort-George",J0M 1E0,Province of Quèbec
2075,PRESTON CENTRE,CPE,80.0,Y,Y,Day Care,Chisasibi,"5, Chemin Fort-George",J0M 1E0,Province of Quèbec
2076,CENTRE DE LA PETITE ENFANCE WASEYAPIN,CPE,80.0,Y,Y,Day Care,Eastmain,"15, Chemin Opinica",J0M 1W0,Province of Quèbec
2077,CENTRE DE LA PETITE ENFANCE MAMIE-SOURIS,CPE,29.0,Y,Y,Day Care,Gouvernement régional d'Eeyou Istch,"2703, boulevard McDuff",J0Z 1H0,Province of Quèbec
2078,SERVICE DE GARDE TASIURVIK INC.,CPE,80.0,Y,Y,Day Care,Inukjuak,", C.P. 280",J0M 1M0,Province of Quèbec
2079,SERVICE DE GARDE TASIURVIK INC.,CPE,65.0,Y,Y,Day Care,Inukjuak,", C.P. 280",J0M 1M0,Province of Quèbec
2080,CENTRE DE LA PETITE ENFANCE AMAARVIK,CPE,30.0,Y,Y,Day Care,Ivujivik,", C.P. 50",J0M 1H0,Province of Quèbec
2081,CENTRE DE LA PETITE ENFANCE AQAIVIK,CPE,60.0,Y,Y,Day Care,Kangiqsualujjuaq,", C.P. 130",J0M 1N0,Province of Quèbec
2082,CENTRE DE LA PETITE ENFANCE SARALIKITAARAPIIT,CPE,45.0,Y,Y,Day Care,Kangiqsualujjuaq,", C.P. 130",J0M 1N0,Province of Quèbec
2083,CENTRE DE LA PETITE ENFANCE MIKIJUQ,CPE,45.0,Y,Y,Day Care,Kangiqsujuaq,", C.P. 169",J0M 1K0,Province of Quèbec
2084,CENTRE DE LA PETITE ENFANCE AMAARTAUVIK,CPE,30.0,Y,Y,Day Care,Kangirsuk,", Case Postale 160 C.P. 160",J0M 1A0,Province of Quèbec
2085,CENTRE DE LA PETITE ENFANCE IQITAUVIK/ IQITAUVIK CHILD CARE CENTRE - TUMIAPIIT,CPE,80.0,Y,Y,Day Care,Kuujjuaq,", C.P. 699",J0M 1C0,Province of Quèbec
2086,CENTRE DE LA PETITE ENFANCE IQITAUVIK/IQITAUVIK CHILD CARE CENTRE,CPE,80.0,Y,Y,Day Care,Kuujjuaq,", C.P. 699",J0M 1C0,Province of Quèbec
2087,CENTRE DE LA PETITE ENFANCE SAQLIAVIK,CPE,40.0,Y,Y,Day Care,Kuujjuarapik,", C.P. 429",J0M 1G0,Province of Quèbec
2088,CENTRE DE LA PETITE ENFANCE SUCRE D'ORGE,CPE,49.0,Y,Y,Day Care,Lebel-sur-Quévillon,"53, rue des Trembles",J0Y 1X0,Province of Quèbec
2089,LE CENTRE DE LA PETITE ENFANCE DES P'TITS MARINGOUINS,CPE,29.0,Y,Y,Day Care,Matagami,"99, rue Rupert",J0Y 2A0,Province of Quèbec
2090,CENTRE DE LA PETITE ENFANCE AWASH / AWASH CHILD CARE CENTER (JONATHAN CENTRE),CPE,80.0,Y,Y,Day Care,Mistissini,"104, rue St-John Poste restante",G0W 1C0,Province of Quèbec
2091,CENTRE DE LA PETITE ENFANCE AWASH / AWASH CHILDCARE CENTER (AMANDA CENTRE),CPE,80.0,Y,Y,Day Care,Mistissini,"115, rue Amanda Poste restante",G0W 1C0,Province of Quèbec
2092,CENTRE DE LA PETITE ENFANCE AWASH / AWASH CHILDCARE CENTER (MARYAN CENTRE),CPE,80.0,Y,Y,Day Care,Mistissini,"9, rue Cheno",G0W 1C0,Province of Quèbec
2093,CENTRE DE LA PETITE ENFANCE SHE SHE GUIN,CPE,63.0,Y,Y,Day Care,Nemaska,"10, route Lakeshore",J0Y 3B0,Province of Quèbec
2094,CENTRE DE LA PETITE ENFANCE WASPSHOOYAN/WASPSHOOYAN KANOWAYEMASOOKAMOUK,CPE,70.0,Y,Y,Day Care,Oujé-Bougoumou,"15, rue Wastawshkootaw",G0W 3C0,Province of Quèbec
2095,CENTRE DE LA PETITE ENFANCE SARLIATAUVIK - ARQSUIVIK,CPE,80.0,Y,Y,Day Care,Puvirnituq,", C.P. 347",J0M 1P0,Province of Quèbec
2096,CENTRE DE LA PETITE ENFANCE SARLIATAUVIK/SARLIATAUVIK CHILD CARE CENTER,CPE,80.0,Y,Y,Day Care,Puvirnituq,", C.P. 347",J0M 1P0,Province of Quèbec
2097,CENTRE DE LA PETITE ENFANCE KAMATTSIAVIK / KAMATTSIAVIK CHILD CARE CENTRE,CPE,30.0,Y,Y,Day Care,Quaqtaq,", QUAQTAQ",J0M 1J0,Province of Quèbec
2098,CENTRE DE LA PETITE ENFANCE TASIURSIVIK,CPE,60.0,Y,Y,Day Care,Salluit,", C.P. 330",J0M 1S0,Province of Quèbec
2099,CENTRE DE LA PETITE ENFANCE TASIURSIVIK - PIRURSIAK,CPE,80.0,Y,Y,Day Care,Salluit,", C.P. 168",J0M 1S0,Province of Quèbec
2100,CENTRE DE LA PETITE ENFANCE QULLIAPIK,CPE,29.0,Y,Y,Day Care,Tasiujaq,", C.P. 54",J0M 1T0,Province of Quèbec
2101,CENTRE DE LA PETITE ENFANCE AMAUTIK,CPE,30.0,Y,Y,Day Care,Umiujaq,", C.P. 57",J0M 1Y0,Province of Quèbec
2102,CENTRE DE LA PETITE ENFANCE ET À LA FAMILLE WAASESKUN,CPE,70.0,Y,Y,Day Care,Waskaganish,"7, rue Kaapitakanush Meskanuu",J0M 1R0,Province of Quèbec
2103,CENTRE DE LA PETITE ENFANCE ET À LA FAMILLE WAASESKUN,CPE,70.0,Y,Y,Day Care,Waskaganish,"7, rue Shuushuuhkuo",J0M 1R0,Province of Quèbec
2104,CENTRE DE LA PETITE ENFANCE AWAASH SHIISHIIKUNKAMIK,CPE,70.0,Y,Y,Day Care,Waswanipi,"2A, rue Spruce C.P. 17",J0Y 3C0,Province of Quèbec
2105,CENTRE DE LA PETITE ENFANCE AWAASH SHIISHIIKUNKAMIK,CPE,70.0,Y,Y,Day Care,Waswanipi,"51, rue Pine",J0Y 3C0,Province of Quèbec
2106,CENTRE DE LA PETITE ENFANCE KANAWHYMIGOO,CPE,75.0,Y,Y,Day Care,Wemindji,"1, Kanawhymigoo",J0M 1L0,Province of Quèbec
2107,CENTRE DE LA PETITE ENFANCE KANAWHYMIGOO,CPE,80.0,Y,Y,Day Care,Wemindji,"24, rue Spruce",J0M 1L0,Province of Quèbec
2108,CENTRE DE LA PETITE ENFANCE AWASH ESTCHEES / AWASH ESTCHEES CHILDCARE CENTRE,CPE,80.0,Y,Y,Day Care,Whapmagoostui,"420, rue B C.P. 423",J0M 1G0,Province of Quèbec
2109,CENTRE DE LA PETITE ENFANCE DE LA BAIE,CPE,47.0,Y,Y,Day Care,Bonaventure,"101, avenue de Grand-Pré",G0C 1E0,Province of Quèbec
2110,CENTRE DE LA PETITE ENFANCE LA MARÉE MONTANTE,CPE,21.0,Y,Y,Day Care,Cap-Chat,"37, rue Notre-Dame Ouest",G0J 1E0,Province of Quèbec
2111,CENTRE DE LA PETITE ENFANCE LA RAMEE,CPE,60.0,Y,Y,Day Care,Cap-aux-Meules,"52, chemin de Gros-Cap",G4T 1K8,Province of Quèbec
2112,AUX JOYEUX MARMOTS,CPE,39.0,Y,Y,Day Care,Carleton-Saint-Omer,"123, rue de la Montagne",G0C 1J0,Province of Quèbec
2113,"CENTRE DE LA PETITE ENFANCE ""LA BELLE JOURNÉE"" INC.",CPE,62.0,Y,Y,Day Care,Chandler,"692, avenue de l'Hôtel-de-Ville",G0C 1K0,Province of Quèbec
2114,"CENTRE DE LA PETITE ENFANCE ""CHEZ MA TANTE""",CPE,60.0,Y,Y,Day Care,Fatima,"568, chemin des Caps",G4T 2S8,Province of Quèbec
2115,CPE DES BUTINEURS,CPE,31.0,Y,Y,Day Care,Gaspé,"96, rue Jacques-Cartier",G4X 2S8,Province of Quèbec
